ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5767	0.5401	0.5053	0.4845	0.4402	25283
3	0.6174	0.5862	0.5563	0.5389	0.5005	8971
4	0.6578	0.6285	0.5997	0.5833	0.5515	6197
5	0.6782	0.6503	0.6242	0.6066	0.5753	3550
6	0.6972	0.6703	0.6456	0.6308	0.5963	2566
7	0.7131	0.6880	0.6662	0.6511	0.6175	1826
8	0.7255	0.6994	0.6782	0.6626	0.6329	1448
9	0.7351	0.7090	0.6875	0.6713	0.6401	1166
10	0.7470	0.7231	0.7009	0.6891	0.6595	921
11	0.7536	0.7309	0.7086	0.6963	0.6623	775
12	0.7593	0.7351	0.7134	0.6997	0.6673	692
13	0.7697	0.7478	0.7232	0.7093	0.6819	562
14	0.7745	0.7522	0.7302	0.7210	0.6918	468
15	0.7803	0.7570	0.7403	0.7300	0.6946	395
16	0.7821	0.7570	0.7356	0.7240	0.6937	373
17	0.7925	0.7741	0.7465	0.7382	0.7110	349
18	0.7890	0.7669	0.7489	0.7428	0.6978	261
19	0.7976	0.7756	0.7557	0.7471	0.7352	254
20	0.8004	0.7782	0.7595	0.7468	0.7154	228
21	0.7997	0.7771	0.7621	0.7511	0.7440	222
22	0.8070	0.7864	0.7695	0.7643	0.7261	199
23	0.8129	0.7948	0.7710	0.7554	0.7212	166
24	0.8125	0.7925	0.7674	0.7496	0.7201	172
25	0.8149	0.7948	0.7769	0.7720	0.7486	148
26	0.8174	0.7951	0.7817	0.7724	0.7470	153
27	0.8171	0.7957	0.7833	0.7673	0.7487	139
28	0.8191	0.8011	0.7866	0.7787	0.7653	136
29	0.8263	0.8078	0.7961	0.7762	0.7573	116
30	0.8249	0.8004	0.7906	0.7799	0.7483	94
31	0.8348	0.8153	0.7956	0.7912	0.7696	76
32	0.8323	0.8176	0.7928	0.7826	0.7699	93
33	0.8327	0.8075	0.7950	0.7899	0.7789	85
34	0.8310	0.8137	0.8030	0.7910	0.7614	93
35	0.8310	0.8126	0.7970	0.7952	0.7688	77
36	0.8328	0.8156	0.7993	0.7902	0.7659	77
37	0.8409	0.8213	0.8072	0.7961	0.7779	77
38	0.8429	0.8303	0.8102	0.8011	0.7770	69
39	0.8451	0.8279	0.8080	0.8037	0.7871	57
40	0.8438	0.8250	0.8111	0.7970	0.7804	70
41	0.8454	0.8282	0.8090	0.7996	0.7862	75
