ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6733	0.6310	0.5898	0.5644	0.5113	29113
3	0.7196	0.6858	0.6541	0.6334	0.5943	12001
4	0.7556	0.7268	0.6998	0.6820	0.6501	7116
5	0.7790	0.7532	0.7278	0.7147	0.6857	4526
6	0.7979	0.7734	0.7501	0.7353	0.7069	3157
7	0.8128	0.7913	0.7685	0.7556	0.7288	2245
8	0.8256	0.8052	0.7844	0.7717	0.7519	1839
9	0.8354	0.8143	0.7941	0.7842	0.7611	1472
10	0.8444	0.8255	0.8082	0.7962	0.7817	1098
11	0.8537	0.8368	0.8203	0.8095	0.7897	927
12	0.8593	0.8433	0.8248	0.8145	0.7938	791
13	0.8645	0.8488	0.8308	0.8241	0.8089	646
14	0.8718	0.8583	0.8424	0.8332	0.8132	641
15	0.8769	0.8611	0.8488	0.8417	0.8275	558
16	0.8816	0.8646	0.8528	0.8427	0.8308	435
17	0.8854	0.8719	0.8565	0.8496	0.8326	384
18	0.8882	0.8765	0.8608	0.8520	0.8311	366
19	0.8924	0.8788	0.8656	0.8598	0.8440	352
20	0.8951	0.8832	0.8693	0.8643	0.8429	296
21	0.8994	0.8870	0.8768	0.8713	0.8526	234
22	0.9018	0.8895	0.8788	0.8714	0.8607	227
23	0.9042	0.8940	0.8797	0.8697	0.8593	227
24	0.9068	0.8973	0.8867	0.8825	0.8635	185
25	0.9098	0.8991	0.8867	0.8812	0.8774	188
26	0.9132	0.9008	0.8896	0.8815	0.8744	171
27	0.9128	0.9039	0.8929	0.8830	0.8685	147
28	0.9167	0.9060	0.8949	0.8899	0.8779	139
29	0.9181	0.9081	0.8982	0.8954	0.8790	148
30	0.9188	0.9076	0.8981	0.8925	0.8838	134
31	0.9210	0.9107	0.9003	0.8963	0.8906	112
32	0.9242	0.9135	0.9055	0.8970	0.8935	106
33	0.9237	0.9143	0.9064	0.9001	0.8841	95
34	0.9229	0.9138	0.9082	0.9016	0.8932	113
35	0.9234	0.9161	0.9088	0.9047	0.8873	88
36	0.9281	0.9190	0.9102	0.9079	0.8972	94
37	0.9286	0.9204	0.9124	0.9079	0.8945	88
38	0.9303	0.9223	0.9161	0.9132	0.9039	80
39	0.9324	0.9263	0.9162	0.9115	0.8978	76
40	0.9301	0.9210	0.9143	0.9115	0.9075	73
41	0.9335	0.9255	0.9189	0.9151	0.9099	71
42	0.9368	0.9292	0.9187	0.9164	0.9126	67
43	0.9352	0.9303	0.9222	0.9187	0.9044	63
44	0.9355	0.9278	0.9206	0.9186	0.9164	53
45	0.9372	0.9308	0.9228	0.9177	0.9080	54
