ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5614	0.5255	0.4923	0.4697	0.4303	25064
3	0.6006	0.5695	0.5385	0.5192	0.4873	8504
4	0.6421	0.6123	0.5844	0.5672	0.5323	6025
5	0.6613	0.6328	0.6062	0.5906	0.5604	3615
6	0.6802	0.6531	0.6256	0.6101	0.5745	2430
7	0.6955	0.6698	0.6447	0.6284	0.5949	1918
8	0.7080	0.6820	0.6549	0.6409	0.5967	1399
9	0.7211	0.6956	0.6722	0.6523	0.6263	1092
10	0.7282	0.7030	0.6780	0.6641	0.6269	859
11	0.7357	0.7095	0.6851	0.6723	0.6475	753
12	0.7445	0.7191	0.6987	0.6866	0.6463	658
13	0.7509	0.7275	0.7004	0.6843	0.6597	558
14	0.7566	0.7312	0.7161	0.7013	0.6584	452
15	0.7616	0.7382	0.7134	0.6984	0.6724	399
16	0.7679	0.7444	0.7239	0.7070	0.6858	354
17	0.7732	0.7495	0.7296	0.7134	0.6892	331
18	0.7760	0.7512	0.7324	0.7252	0.7057	292
19	0.7772	0.7546	0.7272	0.7087	0.6792	266
20	0.7810	0.7568	0.7338	0.7177	0.6908	225
21	0.7887	0.7661	0.7462	0.7324	0.7111	237
22	0.7911	0.7675	0.7502	0.7361	0.6992	189
23	0.7937	0.7709	0.7449	0.7289	0.6923	180
24	0.7915	0.7697	0.7478	0.7272	0.7005	150
25	0.7987	0.7790	0.7565	0.7469	0.7251	161
26	0.8024	0.7829	0.7648	0.7531	0.7018	115
27	0.8052	0.7887	0.7609	0.7481	0.7195	120
28	0.8046	0.7859	0.7659	0.7588	0.7281	111
29	0.8062	0.7889	0.7616	0.7500	0.7329	101
30	0.8103	0.7903	0.7688	0.7617	0.7385	120
31	0.8142	0.7924	0.7682	0.7511	0.7280	96
32	0.8094	0.7878	0.7658	0.7620	0.7320	89
33	0.8175	0.7984	0.7819	0.7685	0.7213	93
34	0.8149	0.7898	0.7758	0.7669	0.7410	83
35	0.8163	0.7907	0.7820	0.7693	0.7396	78
36	0.8139	0.7963	0.7784	0.7742	0.7358	59
37	0.8262	0.8096	0.7839	0.7780	0.7210	64
38	0.8229	0.8040	0.7839	0.7782	0.7714	59
39	0.8175	0.7927	0.7726	0.7578	0.7406	64
40	0.8366	0.8208	0.8024	0.7811	0.7490	65
41	0.8375	0.8142	0.8005	0.7882	0.7535	75
42	0.8329	0.8111	0.7949	0.7901	0.7497	59
43	0.8298	0.8208	0.7968	0.7863	0.7573	52
44	0.8320	0.8096	0.7869	0.7637	0.7597	52
