ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5588	0.5230	0.4905	0.4684	0.4298	24221
3	0.5981	0.5672	0.5378	0.5181	0.4845	8135
4	0.6401	0.6105	0.5822	0.5649	0.5278	5902
5	0.6576	0.6312	0.6047	0.5860	0.5511	3338
6	0.6783	0.6520	0.6236	0.6062	0.5774	2456
7	0.6931	0.6667	0.6420	0.6246	0.5897	1731
8	0.7037	0.6769	0.6531	0.6363	0.5968	1342
9	0.7166	0.6925	0.6692	0.6538	0.6231	1109
10	0.7265	0.7004	0.6752	0.6590	0.6206	858
11	0.7334	0.7085	0.6877	0.6725	0.6331	700
12	0.7406	0.7184	0.6902	0.6715	0.6454	614
13	0.7481	0.7213	0.6998	0.6835	0.6582	528
14	0.7528	0.7324	0.7085	0.6926	0.6633	433
15	0.7599	0.7384	0.7122	0.6918	0.6535	376
16	0.7640	0.7404	0.7211	0.7120	0.6798	346
17	0.7685	0.7450	0.7236	0.7085	0.6874	316
18	0.7723	0.7513	0.7300	0.7099	0.6718	260
19	0.7737	0.7496	0.7259	0.7149	0.6845	268
20	0.7783	0.7564	0.7377	0.7196	0.6995	242
21	0.7823	0.7629	0.7329	0.7102	0.6911	198
22	0.7919	0.7696	0.7471	0.7414	0.7089	201
23	0.7872	0.7646	0.7431	0.7283	0.6796	172
24	0.7927	0.7719	0.7527	0.7194	0.6920	151
25	0.7949	0.7758	0.7512	0.7329	0.6795	132
26	0.8004	0.7816	0.7621	0.7439	0.7414	119
27	0.8027	0.7822	0.7718	0.7607	0.7287	109
28	0.8003	0.7767	0.7551	0.7443	0.7274	127
29	0.8043	0.7834	0.7605	0.7527	0.7351	109
30	0.8024	0.7867	0.7525	0.7409	0.7022	114
31	0.8063	0.7826	0.7631	0.7473	0.7147	93
32	0.8122	0.7934	0.7756	0.7571	0.7184	87
33	0.8109	0.7973	0.7671	0.7566	0.7296	84
34	0.8114	0.7964	0.7621	0.7503	0.7215	92
35	0.8118	0.7932	0.7707	0.7548	0.7430	68
36	0.8196	0.8014	0.7740	0.7620	0.7145	69
37	0.8243	0.8125	0.7944	0.7713	0.7349	72
38	0.8211	0.7966	0.7720	0.7651	0.7561	57
39	0.8123	0.7897	0.7755	0.7601	0.7267	65
