ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.7262	0.6800	0.6350	0.6077	0.5497	57908
3	0.7743	0.7392	0.7040	0.6832	0.6441	25232
4	0.8092	0.7790	0.7498	0.7331	0.6990	14453
5	0.8332	0.8062	0.7815	0.7659	0.7356	9371
6	0.8515	0.8281	0.8056	0.7916	0.7663	6501
7	0.8661	0.8459	0.8253	0.8124	0.7885	4908
8	0.8781	0.8588	0.8405	0.8292	0.8059	3657
9	0.8874	0.8694	0.8527	0.8421	0.8248	2834
10	0.8949	0.8795	0.8631	0.8540	0.8336	2320
11	0.9033	0.8882	0.8741	0.8630	0.8421	1915
12	0.9098	0.8966	0.8812	0.8723	0.8586	1588
13	0.9146	0.9013	0.8878	0.8806	0.8669	1376
14	0.9199	0.9079	0.8957	0.8874	0.8714	1158
15	0.9258	0.9157	0.9027	0.8967	0.8850	1054
16	0.9276	0.9171	0.9049	0.8985	0.8858	923
17	0.9334	0.9239	0.9116	0.9057	0.8923	756
18	0.9361	0.9272	0.9155	0.9093	0.8989	710
19	0.9391	0.9288	0.9196	0.9132	0.9022	661
20	0.9423	0.9337	0.9232	0.9188	0.9056	626
21	0.9452	0.9365	0.9277	0.9228	0.9068	544
22	0.9472	0.9385	0.9298	0.9243	0.9157	571
23	0.9499	0.9418	0.9354	0.9308	0.9211	481
24	0.9530	0.9453	0.9387	0.9346	0.9273	442
25	0.9552	0.9485	0.9410	0.9359	0.9255	473
26	0.9578	0.9515	0.9436	0.9388	0.9308	447
27	0.9597	0.9530	0.9460	0.9422	0.9360	418
28	0.9632	0.9574	0.9505	0.9477	0.9397	462
29	0.9657	0.9598	0.9538	0.9504	0.9433	367
30	0.9728	0.9671	0.9615	0.9575	0.9502	5077
