ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6004	0.5624	0.5264	0.5043	0.4603	25529
3	0.6423	0.6100	0.5796	0.5593	0.5230	9353
4	0.6810	0.6529	0.6227	0.6031	0.5672	6210
5	0.7023	0.6744	0.6496	0.6338	0.6015	3655
6	0.7230	0.6967	0.6704	0.6547	0.6277	2687
7	0.7358	0.7113	0.6880	0.6744	0.6455	1879
8	0.7490	0.7257	0.7028	0.6893	0.6601	1434
9	0.7615	0.7384	0.7168	0.7027	0.6767	1219
10	0.7690	0.7455	0.7254	0.7117	0.6741	983
11	0.7786	0.7567	0.7345	0.7197	0.7003	776
12	0.7848	0.7626	0.7415	0.7332	0.7100	677
13	0.7908	0.7695	0.7507	0.7357	0.7144	549
14	0.7984	0.7777	0.7588	0.7450	0.7234	486
15	0.8023	0.7821	0.7635	0.7537	0.7209	424
16	0.8074	0.7862	0.7690	0.7611	0.7367	386
17	0.8088	0.7876	0.7728	0.7629	0.7404	341
18	0.8168	0.7976	0.7835	0.7682	0.7421	311
19	0.8195	0.8011	0.7799	0.7747	0.7434	272
20	0.8240	0.8067	0.7896	0.7832	0.7694	218
21	0.8297	0.8144	0.7905	0.7798	0.7652	217
22	0.8322	0.8098	0.7988	0.7838	0.7609	191
23	0.8327	0.8177	0.7997	0.7811	0.7651	176
24	0.8355	0.8225	0.8073	0.8015	0.7653	170
25	0.8405	0.8208	0.8084	0.8008	0.7859	158
26	0.8409	0.8244	0.8079	0.7949	0.7802	144
27	0.8402	0.8238	0.8074	0.7990	0.7742	172
28	0.8430	0.8239	0.8088	0.7956	0.7904	107
29	0.8467	0.8296	0.8103	0.8040	0.7945	106
30	0.8553	0.8376	0.8222	0.8083	0.7916	107
31	0.8456	0.8284	0.8145	0.8043	0.7971	110
32	0.8552	0.8393	0.8200	0.8121	0.8059	101
33	0.8529	0.8358	0.8179	0.8126	0.8077	94
34	0.8583	0.8439	0.8256	0.8164	0.8066	90
35	0.8583	0.8447	0.8238	0.8158	0.7948	73
36	0.8609	0.8430	0.8334	0.8249	0.7939	68
37	0.8660	0.8467	0.8324	0.8168	0.7960	56
38	0.8655	0.8497	0.8391	0.8330	0.8149	98
39	0.8630	0.8489	0.8316	0.8286	0.8266	54
40	0.8673	0.8515	0.8349	0.8335	0.8149	68
41	0.8672	0.8499	0.8413	0.8333	0.8303	54
42	0.8684	0.8542	0.8341	0.8281	0.8223	55
43	0.8680	0.8545	0.8401	0.8371	0.8357	53
44	0.8695	0.8565	0.8427	0.8360	0.8173	56
45	0.8725	0.8557	0.8438	0.8390	0.8125	74
