ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5856	0.5480	0.5140	0.4925	0.4496	25134
3	0.6264	0.5949	0.5663	0.5472	0.5135	9091
4	0.6667	0.6373	0.6091	0.5906	0.5582	6043
5	0.6871	0.6597	0.6342	0.6179	0.5881	3661
6	0.7069	0.6806	0.6574	0.6405	0.6072	2516
7	0.7199	0.6932	0.6711	0.6579	0.6293	1881
8	0.7344	0.7098	0.6892	0.6744	0.6496	1444
9	0.7463	0.7233	0.6987	0.6851	0.6545	1089
10	0.7532	0.7286	0.7072	0.6949	0.6698	951
11	0.7612	0.7386	0.7185	0.7045	0.6736	790
12	0.7712	0.7483	0.7263	0.7141	0.6918	669
13	0.7760	0.7533	0.7343	0.7236	0.6982	537
14	0.7826	0.7592	0.7420	0.7296	0.7024	472
15	0.7855	0.7666	0.7511	0.7326	0.7024	432
16	0.7896	0.7655	0.7491	0.7350	0.7095	355
17	0.7954	0.7752	0.7564	0.7463	0.7212	330
18	0.8009	0.7824	0.7616	0.7523	0.7364	268
19	0.8039	0.7853	0.7688	0.7510	0.7278	266
20	0.8085	0.7898	0.7716	0.7605	0.7411	238
21	0.8080	0.7912	0.7690	0.7566	0.7345	210
22	0.8116	0.7902	0.7753	0.7631	0.7402	203
23	0.8187	0.8006	0.7813	0.7713	0.7558	171
24	0.8212	0.8036	0.7881	0.7733	0.7413	167
25	0.8242	0.8063	0.7903	0.7804	0.7677	156
26	0.8244	0.8103	0.7965	0.7819	0.7644	152
27	0.8237	0.8069	0.7821	0.7734	0.7615	131
28	0.8307	0.8163	0.8006	0.7901	0.7546	122
29	0.8343	0.8146	0.8031	0.7954	0.7639	140
30	0.8389	0.8204	0.8062	0.7982	0.7864	106
31	0.8347	0.8131	0.7951	0.7884	0.7577	80
32	0.8364	0.8207	0.7964	0.7812	0.7784	112
33	0.8430	0.8255	0.8098	0.8040	0.7952	73
34	0.8423	0.8309	0.8096	0.8049	0.7882	71
35	0.8463	0.8271	0.8159	0.8096	0.8043	85
36	0.8446	0.8270	0.8107	0.8090	0.7917	81
37	0.8506	0.8377	0.8228	0.8178	0.7762	69
38	0.8467	0.8289	0.8117	0.8052	0.8009	79
39	0.8508	0.8317	0.8222	0.8052	0.7831	61
40	0.8560	0.8375	0.8259	0.8185	0.8054	54
41	0.8568	0.8369	0.8243	0.8168	0.8133	66
