ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6325	0.5934	0.5565	0.5317	0.4827	25924
3	0.6766	0.6446	0.6139	0.5956	0.5582	10127
4	0.7144	0.6856	0.6585	0.6417	0.6087	6240
5	0.7367	0.7112	0.6861	0.6706	0.6402	3855
6	0.7564	0.7317	0.7086	0.6945	0.6639	2727
7	0.7717	0.7494	0.7266	0.7137	0.6828	2040
8	0.7825	0.7615	0.7412	0.7272	0.7016	1510
9	0.7938	0.7731	0.7539	0.7415	0.7118	1207
10	0.8032	0.7830	0.7595	0.7499	0.7259	984
11	0.8120	0.7917	0.7749	0.7622	0.7401	821
12	0.8194	0.8013	0.7821	0.7710	0.7429	722
13	0.8264	0.8074	0.7903	0.7775	0.7557	604
14	0.8296	0.8128	0.7972	0.7860	0.7626	482
15	0.8368	0.8177	0.8029	0.7954	0.7733	480
16	0.8393	0.8209	0.8053	0.7937	0.7701	378
17	0.8457	0.8301	0.8150	0.8025	0.7851	352
18	0.8535	0.8342	0.8181	0.8104	0.8023	309
19	0.8533	0.8368	0.8250	0.8158	0.7977	289
20	0.8572	0.8427	0.8290	0.8205	0.8072	258
21	0.8595	0.8448	0.8302	0.8248	0.8034	244
22	0.8629	0.8470	0.8309	0.8267	0.8214	207
23	0.8682	0.8542	0.8390	0.8308	0.8165	203
24	0.8701	0.8545	0.8441	0.8319	0.8124	200
25	0.8737	0.8582	0.8486	0.8449	0.8210	153
26	0.8763	0.8638	0.8458	0.8413	0.8202	145
27	0.8742	0.8602	0.8484	0.8424	0.8346	123
28	0.8759	0.8622	0.8525	0.8432	0.8322	139
29	0.8786	0.8660	0.8552	0.8377	0.8328	115
30	0.8817	0.8683	0.8555	0.8451	0.8284	93
31	0.8846	0.8704	0.8563	0.8505	0.8335	114
32	0.8897	0.8754	0.8646	0.8530	0.8339	84
33	0.8897	0.8746	0.8680	0.8624	0.8460	91
34	0.8916	0.8775	0.8713	0.8676	0.8594	75
35	0.8895	0.8756	0.8653	0.8594	0.8440	79
36	0.8914	0.8807	0.8714	0.8616	0.8480	81
37	0.8946	0.8840	0.8676	0.8632	0.8318	86
38	0.8956	0.8836	0.8747	0.8655	0.8577	74
39	0.8956	0.8845	0.8772	0.8719	0.8571	81
40	0.8993	0.8868	0.8771	0.8747	0.8469	71
41	0.9010	0.8911	0.8817	0.8722	0.8436	54
42	0.9001	0.8866	0.8787	0.8723	0.8587	67
43	0.9047	0.8968	0.8812	0.8775	0.8749	56
44	0.9030	0.8902	0.8811	0.8746	0.8650	51
45	0.9059	0.8922	0.8829	0.8799	0.8689	55
46	0.9060	0.8959	0.8856	0.8814	0.8622	64
