ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5635	0.5275	0.4940	0.4729	0.4321	25456
3	0.6027	0.5715	0.5415	0.5233	0.4866	8615
4	0.6436	0.6138	0.5856	0.5673	0.5294	6236
5	0.6635	0.6372	0.6111	0.5947	0.5598	3504
6	0.6819	0.6547	0.6295	0.6140	0.5750	2545
7	0.6979	0.6716	0.6466	0.6316	0.5963	1842
8	0.7097	0.6848	0.6616	0.6482	0.6123	1464
9	0.7219	0.6947	0.6716	0.6574	0.6312	1137
10	0.7291	0.7063	0.6794	0.6626	0.6121	957
11	0.7376	0.7122	0.6909	0.6784	0.6537	696
12	0.7473	0.7248	0.7003	0.6904	0.6541	649
13	0.7555	0.7317	0.7084	0.6889	0.6629	549
14	0.7571	0.7359	0.7144	0.6978	0.6560	505
15	0.7623	0.7400	0.7182	0.7067	0.6740	422
16	0.7639	0.7403	0.7187	0.6986	0.6597	320
17	0.7720	0.7497	0.7264	0.7076	0.6812	315
18	0.7813	0.7564	0.7363	0.7300	0.7008	262
19	0.7821	0.7637	0.7410	0.7275	0.6936	261
20	0.7838	0.7614	0.7375	0.7210	0.6909	239
21	0.7877	0.7700	0.7456	0.7220	0.6780	228
22	0.7898	0.7699	0.7417	0.7319	0.6981	206
23	0.7942	0.7732	0.7511	0.7376	0.7056	177
24	0.7919	0.7707	0.7502	0.7319	0.6853	165
25	0.7994	0.7803	0.7567	0.7436	0.6972	157
26	0.7988	0.7781	0.7587	0.7381	0.7206	139
27	0.7979	0.7800	0.7578	0.7358	0.7217	128
28	0.8072	0.7882	0.7700	0.7597	0.7503	103
29	0.8115	0.7879	0.7610	0.7566	0.7126	106
30	0.8106	0.7946	0.7792	0.7739	0.7549	108
31	0.8107	0.7936	0.7675	0.7590	0.7251	116
32	0.8170	0.8018	0.7830	0.7703	0.7035	97
33	0.8136	0.7970	0.7631	0.7496	0.7366	85
34	0.8154	0.7956	0.7698	0.7581	0.7217	81
35	0.8177	0.7988	0.7860	0.7539	0.7391	78
36	0.8245	0.8052	0.7827	0.7757	0.7616	77
37	0.8205	0.7973	0.7837	0.7797	0.7673	69
38	0.8267	0.8111	0.7933	0.7761	0.7668	80
39	0.8226	0.8060	0.7681	0.7449	0.7385	73
40	0.8263	0.8136	0.7860	0.7801	0.7534	72
