ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5798	0.5431	0.5085	0.4884	0.4469	25119
3	0.6194	0.5875	0.5591	0.5414	0.5047	8941
4	0.6604	0.6316	0.6038	0.5843	0.5510	6074
5	0.6802	0.6527	0.6263	0.6091	0.5812	3567
6	0.7005	0.6742	0.6473	0.6332	0.6043	2524
7	0.7142	0.6892	0.6650	0.6493	0.6189	1871
8	0.7278	0.7038	0.6806	0.6674	0.6382	1457
9	0.7364	0.7120	0.6889	0.6728	0.6477	1139
10	0.7503	0.7276	0.7040	0.6903	0.6594	920
11	0.7558	0.7324	0.7087	0.6937	0.6720	770
12	0.7614	0.7387	0.7186	0.7016	0.6760	619
13	0.7723	0.7489	0.7276	0.7100	0.6909	536
14	0.7742	0.7530	0.7291	0.7129	0.6956	499
15	0.7793	0.7580	0.7367	0.7265	0.6941	419
16	0.7876	0.7702	0.7447	0.7324	0.7074	349
17	0.7903	0.7669	0.7503	0.7376	0.7278	341
18	0.7960	0.7765	0.7546	0.7415	0.7179	284
19	0.7976	0.7744	0.7530	0.7388	0.6925	268
20	0.8024	0.7804	0.7653	0.7511	0.7260	246
21	0.8080	0.7899	0.7683	0.7541	0.7378	220
22	0.8070	0.7854	0.7681	0.7574	0.7349	175
23	0.8116	0.7963	0.7738	0.7568	0.7197	191
24	0.8123	0.7951	0.7725	0.7638	0.7479	134
25	0.8158	0.7984	0.7769	0.7674	0.7542	161
26	0.8192	0.7985	0.7751	0.7644	0.7472	141
27	0.8242	0.8049	0.7869	0.7809	0.7634	144
28	0.8246	0.8044	0.7886	0.7825	0.7673	135
29	0.8272	0.8086	0.7954	0.7906	0.7528	127
30	0.8323	0.8158	0.7918	0.7824	0.7732	103
31	0.8335	0.8180	0.7936	0.7774	0.7329	87
32	0.8311	0.8125	0.7961	0.7848	0.7502	93
33	0.8334	0.8152	0.7971	0.7892	0.7649	91
34	0.8352	0.8165	0.7993	0.7867	0.7742	88
35	0.8376	0.8219	0.8045	0.8017	0.7746	84
36	0.8501	0.8331	0.8139	0.7981	0.7817	65
37	0.8392	0.8244	0.8029	0.7928	0.7851	82
38	0.8456	0.8289	0.8167	0.8113	0.7603	54
39	0.8417	0.8248	0.8127	0.7913	0.7821	71
40	0.8409	0.8227	0.8055	0.8003	0.7871	52
