ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5909	0.5534	0.5190	0.4971	0.4513	25352
3	0.6317	0.6000	0.5711	0.5529	0.5149	9149
4	0.6723	0.6432	0.6160	0.5974	0.5647	6100
5	0.6919	0.6648	0.6396	0.6247	0.5946	3609
6	0.7123	0.6870	0.6631	0.6470	0.6146	2623
7	0.7263	0.7028	0.6794	0.6668	0.6326	1903
8	0.7393	0.7155	0.6919	0.6762	0.6421	1448
9	0.7510	0.7272	0.7032	0.6897	0.6543	1151
10	0.7602	0.7377	0.7176	0.7031	0.6753	931
11	0.7699	0.7477	0.7244	0.7120	0.6883	778
12	0.7754	0.7540	0.7358	0.7219	0.6904	688
13	0.7797	0.7562	0.7367	0.7224	0.6927	570
14	0.7849	0.7613	0.7435	0.7292	0.7032	487
15	0.7931	0.7712	0.7564	0.7453	0.7154	402
16	0.7985	0.7787	0.7621	0.7502	0.7129	369
17	0.8015	0.7834	0.7635	0.7515	0.7272	327
18	0.8063	0.7852	0.7645	0.7450	0.7353	312
19	0.8094	0.7922	0.7757	0.7675	0.7333	265
20	0.8153	0.7939	0.7778	0.7691	0.7443	243
21	0.8212	0.8033	0.7884	0.7771	0.7297	188
22	0.8185	0.7964	0.7768	0.7691	0.7415	195
23	0.8270	0.8081	0.7906	0.7824	0.7583	170
24	0.8257	0.8063	0.7883	0.7776	0.7583	190
25	0.8296	0.8129	0.7971	0.7853	0.7517	138
26	0.8290	0.8123	0.7930	0.7822	0.7663	140
27	0.8377	0.8219	0.8066	0.7916	0.7741	142
28	0.8379	0.8224	0.8003	0.7933	0.7782	123
29	0.8368	0.8193	0.8042	0.7908	0.7831	114
30	0.8392	0.8177	0.8017	0.7942	0.7805	106
31	0.8438	0.8279	0.8105	0.7994	0.7854	100
32	0.8484	0.8341	0.8158	0.8084	0.7880	92
33	0.8474	0.8321	0.8139	0.8013	0.7985	93
34	0.8527	0.8375	0.8226	0.8129	0.7858	97
35	0.8464	0.8319	0.8182	0.8177	0.8010	70
36	0.8528	0.8360	0.8173	0.8014	0.7838	62
37	0.8527	0.8385	0.8230	0.8151	0.7930	79
38	0.8507	0.8323	0.8210	0.8185	0.8045	68
39	0.8593	0.8450	0.8311	0.8223	0.7969	65
40	0.8576	0.8471	0.8302	0.8276	0.8231	58
41	0.8587	0.8435	0.8307	0.8201	0.8133	56
42	0.8609	0.8468	0.8359	0.8157	0.7999	56
43	0.8578	0.8422	0.8343	0.8233	0.8166	55
44	0.8566	0.8412	0.8295	0.8222	0.8063	52
