ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5636	0.5274	0.4943	0.4728	0.4336	24484
3	0.6035	0.5724	0.5425	0.5245	0.4864	8395
4	0.6443	0.6153	0.5858	0.5677	0.5286	5986
5	0.6639	0.6364	0.6096	0.5934	0.5551	3455
6	0.6827	0.6557	0.6272	0.6092	0.5725	2426
7	0.6981	0.6720	0.6460	0.6322	0.5998	1781
8	0.7121	0.6870	0.6624	0.6431	0.6082	1353
9	0.7211	0.6931	0.6685	0.6531	0.6247	1109
10	0.7303	0.7047	0.6798	0.6645	0.6322	963
11	0.7414	0.7163	0.6958	0.6789	0.6500	717
12	0.7460	0.7222	0.6986	0.6822	0.6589	586
13	0.7525	0.7292	0.7055	0.6903	0.6606	530
14	0.7584	0.7350	0.7102	0.6924	0.6598	473
15	0.7666	0.7457	0.7217	0.7032	0.6753	395
16	0.7652	0.7423	0.7222	0.7113	0.6903	364
17	0.7712	0.7464	0.7246	0.7140	0.6779	326
18	0.7791	0.7556	0.7320	0.7183	0.6937	263
19	0.7814	0.7613	0.7385	0.7223	0.6988	255
20	0.7883	0.7638	0.7429	0.7338	0.7037	245
21	0.7883	0.7688	0.7442	0.7199	0.7038	210
22	0.7933	0.7739	0.7510	0.7423	0.6964	160
23	0.7931	0.7670	0.7505	0.7385	0.7159	171
24	0.7977	0.7806	0.7531	0.7395	0.7230	158
25	0.7987	0.7758	0.7593	0.7383	0.7192	167
26	0.8025	0.7819	0.7602	0.7398	0.7078	119
27	0.8045	0.7852	0.7627	0.7501	0.7293	127
28	0.8080	0.7882	0.7642	0.7587	0.7478	121
29	0.8047	0.7814	0.7645	0.7583	0.7106	121
30	0.8149	0.7935	0.7755	0.7652	0.7424	98
31	0.8159	0.7993	0.7789	0.7667	0.7456	85
32	0.8187	0.7952	0.7785	0.7726	0.7574	62
33	0.8167	0.7984	0.7739	0.7638	0.7343	84
34	0.8143	0.7920	0.7665	0.7597	0.7318	83
35	0.8210	0.8005	0.7851	0.7647	0.7442	68
36	0.8264	0.8100	0.7931	0.7842	0.7512	78
37	0.8232	0.8058	0.7842	0.7756	0.7609	52
38	0.8195	0.8018	0.7796	0.7759	0.7359	69
39	0.8266	0.8056	0.7915	0.7599	0.7315	71
40	0.8212	0.8042	0.7814	0.7707	0.7479	64
41	0.8334	0.8150	0.7859	0.7797	0.7622	52
42	0.8310	0.8143	0.7889	0.7825	0.7668	68
43	0.8330	0.8170	0.7950	0.7846	0.7435	56
44	0.8323	0.8107	0.7999	0.7928	0.7843	63
45	0.8373	0.8112	0.7972	0.7947	0.7608	55
