ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5642	0.5278	0.4944	0.4729	0.4311	24701
3	0.6035	0.5721	0.5431	0.5243	0.4859	8530
4	0.6451	0.6149	0.5863	0.5684	0.5313	6022
5	0.6642	0.6371	0.6106	0.5945	0.5588	3557
6	0.6832	0.6568	0.6313	0.6164	0.5826	2423
7	0.7002	0.6738	0.6489	0.6339	0.5946	1764
8	0.7122	0.6873	0.6601	0.6473	0.6163	1379
9	0.7227	0.6973	0.6725	0.6573	0.6208	1167
10	0.7333	0.7077	0.6863	0.6717	0.6341	892
11	0.7411	0.7179	0.6923	0.6774	0.6463	777
12	0.7493	0.7273	0.6979	0.6858	0.6591	596
13	0.7523	0.7290	0.7063	0.6945	0.6500	537
14	0.7596	0.7353	0.7138	0.7018	0.6721	530
15	0.7688	0.7461	0.7236	0.7068	0.6810	330
16	0.7686	0.7479	0.7254	0.7117	0.6859	384
17	0.7775	0.7506	0.7315	0.7160	0.6956	334
18	0.7793	0.7565	0.7301	0.7230	0.6938	256
19	0.7816	0.7602	0.7362	0.7269	0.6888	253
20	0.7849	0.7659	0.7431	0.7262	0.6959	254
21	0.7869	0.7688	0.7482	0.7362	0.6858	204
22	0.7911	0.7660	0.7479	0.7357	0.7114	179
23	0.8010	0.7787	0.7556	0.7454	0.7145	166
24	0.7944	0.7713	0.7540	0.7369	0.7137	155
25	0.7979	0.7698	0.7535	0.7421	0.7116	146
26	0.8073	0.7907	0.7658	0.7448	0.7167	136
27	0.8100	0.7909	0.7676	0.7455	0.7142	136
28	0.8125	0.7918	0.7682	0.7578	0.7399	139
29	0.8132	0.7917	0.7668	0.7545	0.7435	107
30	0.8104	0.7864	0.7746	0.7575	0.7429	113
31	0.8137	0.7952	0.7774	0.7753	0.7192	86
32	0.8143	0.7877	0.7682	0.7524	0.7121	92
33	0.8165	0.7955	0.7739	0.7593	0.7418	76
34	0.8194	0.7961	0.7795	0.7573	0.7458	81
35	0.8250	0.8015	0.7794	0.7704	0.7631	77
36	0.8207	0.8024	0.7761	0.7599	0.7507	68
37	0.8259	0.8042	0.7904	0.7806	0.7725	55
38	0.8258	0.8082	0.7932	0.7713	0.7654	71
