ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5551	0.5197	0.4866	0.4663	0.4270	25416
3	0.5944	0.5638	0.5325	0.5141	0.4809	8614
4	0.6363	0.6068	0.5777	0.5614	0.5279	6207
5	0.6549	0.6280	0.5996	0.5827	0.5486	3498
6	0.6735	0.6466	0.6191	0.6046	0.5703	2596
7	0.6886	0.6620	0.6348	0.6170	0.5883	1816
8	0.7022	0.6752	0.6500	0.6332	0.5919	1418
9	0.7125	0.6868	0.6626	0.6466	0.6213	1134
10	0.7218	0.6960	0.6707	0.6565	0.6200	925
11	0.7319	0.7064	0.6790	0.6667	0.6386	782
12	0.7385	0.7159	0.6904	0.6740	0.6496	643
13	0.7437	0.7198	0.6950	0.6775	0.6450	549
14	0.7510	0.7284	0.7065	0.6884	0.6565	464
15	0.7542	0.7308	0.7022	0.6893	0.6622	422
16	0.7609	0.7373	0.7099	0.6985	0.6802	353
17	0.7637	0.7382	0.7183	0.7040	0.6804	291
18	0.7678	0.7448	0.7178	0.7054	0.6953	308
19	0.7750	0.7512	0.7264	0.7150	0.6794	243
20	0.7716	0.7471	0.7282	0.7177	0.6820	223
21	0.7849	0.7615	0.7423	0.7311	0.7068	225
22	0.7835	0.7609	0.7373	0.7236	0.6940	214
23	0.7872	0.7637	0.7403	0.7198	0.6993	177
24	0.7914	0.7704	0.7487	0.7335	0.7142	150
25	0.7926	0.7736	0.7501	0.7312	0.7158	138
26	0.7896	0.7689	0.7517	0.7342	0.7192	127
27	0.7961	0.7699	0.7575	0.7406	0.7072	143
28	0.7972	0.7770	0.7578	0.7318	0.7097	117
29	0.8016	0.7774	0.7612	0.7374	0.6976	96
30	0.7969	0.7806	0.7521	0.7489	0.7344	88
31	0.8074	0.7875	0.7681	0.7510	0.7429	100
32	0.8057	0.7834	0.7674	0.7608	0.7384	102
33	0.8086	0.7896	0.7695	0.7616	0.7523	100
34	0.8110	0.7904	0.7711	0.7615	0.7354	85
35	0.8140	0.7959	0.7826	0.7619	0.7357	68
36	0.8110	0.7928	0.7705	0.7514	0.7199	72
37	0.8151	0.7860	0.7685	0.7560	0.7295	75
38	0.8142	0.7920	0.7729	0.7591	0.7372	81
39	0.8188	0.8015	0.7740	0.7630	0.7526	67
40	0.8252	0.8066	0.7831	0.7776	0.7332	69
41	0.8204	0.7944	0.7830	0.7765	0.7569	50
42	0.8179	0.8042	0.7741	0.7582	0.7359	57
43	0.8307	0.8104	0.7857	0.7645	0.7549	54
