ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5962	0.5585	0.5234	0.5006	0.4568	25385
3	0.6378	0.6058	0.5759	0.5565	0.5225	9443
4	0.6774	0.6482	0.6196	0.6025	0.5641	5999
5	0.6989	0.6721	0.6454	0.6296	0.5968	3707
6	0.7182	0.6933	0.6691	0.6536	0.6203	2615
7	0.7340	0.7090	0.6833	0.6722	0.6439	2008
8	0.7448	0.7221	0.6985	0.6844	0.6549	1410
9	0.7557	0.7341	0.7093	0.6963	0.6706	1154
10	0.7645	0.7427	0.7223	0.7054	0.6810	934
11	0.7774	0.7542	0.7316	0.7184	0.6915	791
12	0.7791	0.7573	0.7364	0.7240	0.6981	674
13	0.7875	0.7661	0.7432	0.7326	0.7058	597
14	0.7945	0.7733	0.7548	0.7422	0.7221	454
15	0.7983	0.7767	0.7580	0.7463	0.7269	397
16	0.8039	0.7825	0.7626	0.7544	0.7364	411
17	0.8080	0.7890	0.7679	0.7552	0.7374	293
18	0.8112	0.7883	0.7724	0.7662	0.7415	299
19	0.8167	0.7988	0.7801	0.7725	0.7528	276
20	0.8204	0.8033	0.7876	0.7709	0.7462	260
21	0.8231	0.8036	0.7846	0.7744	0.7553	215
22	0.8267	0.8085	0.7901	0.7765	0.7561	227
23	0.8275	0.8072	0.7922	0.7842	0.7644	180
24	0.8335	0.8191	0.8050	0.7994	0.7689	187
25	0.8319	0.8108	0.7975	0.7908	0.7772	139
26	0.8349	0.8138	0.7996	0.7969	0.7839	132
27	0.8414	0.8264	0.8094	0.7924	0.7852	128
28	0.8416	0.8276	0.8085	0.7929	0.7789	131
29	0.8433	0.8307	0.8165	0.8082	0.7791	120
30	0.8437	0.8268	0.8150	0.8071	0.8009	119
31	0.8450	0.8282	0.8177	0.8033	0.7869	99
32	0.8475	0.8297	0.8182	0.8066	0.7967	102
33	0.8521	0.8343	0.8239	0.8106	0.7784	93
34	0.8512	0.8369	0.8228	0.8092	0.7922	76
35	0.8562	0.8442	0.8257	0.8190	0.7975	82
36	0.8612	0.8461	0.8301	0.8208	0.8086	78
37	0.8605	0.8449	0.8364	0.8144	0.8068	80
38	0.8630	0.8535	0.8341	0.8252	0.8074	63
39	0.8635	0.8508	0.8267	0.8204	0.7979	56
40	0.8558	0.8383	0.8253	0.8214	0.8017	73
41	0.8701	0.8584	0.8401	0.8331	0.8231	61
