ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5597	0.5237	0.4910	0.4701	0.4301	25392
3	0.5989	0.5685	0.5373	0.5187	0.4845	8639
4	0.6409	0.6112	0.5813	0.5637	0.5293	6279
5	0.6602	0.6328	0.6052	0.5890	0.5579	3505
6	0.6785	0.6516	0.6248	0.6079	0.5714	2513
7	0.6924	0.6662	0.6393	0.6250	0.5977	1801
8	0.7082	0.6832	0.6567	0.6419	0.6168	1433
9	0.7183	0.6917	0.6647	0.6473	0.6160	1173
10	0.7289	0.7039	0.6819	0.6678	0.6378	918
11	0.7335	0.7085	0.6872	0.6752	0.6425	745
12	0.7422	0.7175	0.6905	0.6755	0.6496	656
13	0.7504	0.7292	0.7049	0.6895	0.6441	529
14	0.7539	0.7292	0.7075	0.6933	0.6696	457
15	0.7594	0.7346	0.7107	0.6976	0.6668	424
16	0.7651	0.7432	0.7199	0.7068	0.6804	357
17	0.7696	0.7478	0.7216	0.6999	0.6821	327
18	0.7748	0.7527	0.7254	0.7103	0.6820	269
19	0.7796	0.7557	0.7391	0.7264	0.6870	278
20	0.7805	0.7593	0.7404	0.7266	0.7058	240
21	0.7858	0.7623	0.7428	0.7310	0.6937	213
22	0.7868	0.7649	0.7517	0.7371	0.7121	178
23	0.7866	0.7653	0.7414	0.7329	0.7077	189
24	0.7912	0.7713	0.7473	0.7275	0.6942	174
25	0.7958	0.7702	0.7449	0.7342	0.7069	139
26	0.7982	0.7763	0.7546	0.7405	0.7242	122
27	0.8043	0.7834	0.7621	0.7496	0.7216	138
28	0.8042	0.7852	0.7619	0.7520	0.6999	128
29	0.8065	0.7868	0.7695	0.7613	0.7124	120
30	0.8093	0.7879	0.7668	0.7553	0.7356	91
31	0.8150	0.7941	0.7704	0.7600	0.7396	104
32	0.8109	0.7915	0.7701	0.7541	0.7278	97
33	0.8121	0.7923	0.7716	0.7646	0.7170	88
34	0.8152	0.8001	0.7800	0.7702	0.7450	76
35	0.8149	0.7985	0.7788	0.7663	0.6978	76
36	0.8146	0.7937	0.7735	0.7639	0.7352	74
37	0.8232	0.7971	0.7809	0.7670	0.7458	74
38	0.8190	0.8002	0.7790	0.7670	0.7365	72
39	0.8205	0.7983	0.7813	0.7682	0.7381	76
40	0.8290	0.8095	0.7967	0.7786	0.7700	63
41	0.8261	0.8119	0.7933	0.7643	0.7523	59
42	0.8219	0.8007	0.7807	0.7663	0.7462	52
43	0.8266	0.8104	0.7919	0.7910	0.7815	56
44	0.8313	0.8118	0.7829	0.7544	0.7325	59
