ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6468	0.6063	0.5660	0.5417	0.4936	26720
3	0.6916	0.6580	0.6276	0.6083	0.5708	10429
4	0.7283	0.6987	0.6712	0.6540	0.6187	6525
5	0.7518	0.7254	0.7013	0.6861	0.6548	4107
6	0.7713	0.7457	0.7236	0.7090	0.6812	2813
7	0.7863	0.7635	0.7431	0.7278	0.6989	2057
8	0.7977	0.7762	0.7547	0.7423	0.7208	1617
9	0.8089	0.7877	0.7675	0.7559	0.7319	1281
10	0.8201	0.7994	0.7805	0.7694	0.7526	1036
11	0.8252	0.8058	0.7860	0.7760	0.7566	844
12	0.8342	0.8160	0.7992	0.7865	0.7653	701
13	0.8406	0.8223	0.8046	0.7955	0.7820	656
14	0.8461	0.8290	0.8133	0.8058	0.7852	487
15	0.8499	0.8326	0.8197	0.8115	0.7926	475
16	0.8560	0.8423	0.8225	0.8124	0.8012	419
17	0.8598	0.8461	0.8297	0.8169	0.7958	341
18	0.8638	0.8477	0.8339	0.8260	0.8101	318
19	0.8663	0.8504	0.8384	0.8305	0.8121	300
20	0.8703	0.8547	0.8419	0.8345	0.8229	268
21	0.8722	0.8575	0.8451	0.8338	0.8182	234
22	0.8778	0.8646	0.8466	0.8371	0.8264	210
23	0.8815	0.8700	0.8583	0.8523	0.8359	187
24	0.8842	0.8725	0.8564	0.8526	0.8361	177
25	0.8877	0.8735	0.8622	0.8507	0.8404	166
26	0.8878	0.8742	0.8652	0.8591	0.8463	174
27	0.8894	0.8730	0.8652	0.8614	0.8452	142
28	0.8905	0.8804	0.8635	0.8559	0.8472	126
29	0.8956	0.8839	0.8719	0.8601	0.8568	149
30	0.8961	0.8836	0.8721	0.8682	0.8651	134
31	0.9005	0.8899	0.8773	0.8730	0.8686	118
32	0.8998	0.8903	0.8797	0.8732	0.8525	99
33	0.9010	0.8890	0.8763	0.8647	0.8592	102
34	0.9007	0.8910	0.8853	0.8795	0.8595	89
35	0.9041	0.8941	0.8850	0.8778	0.8663	68
36	0.9066	0.8941	0.8801	0.8751	0.8706	69
37	0.9037	0.8903	0.8825	0.8790	0.8686	75
38	0.9123	0.9024	0.8928	0.8884	0.8741	68
39	0.9141	0.9050	0.8940	0.8928	0.8891	59
40	0.9084	0.8985	0.8921	0.8822	0.8748	77
41	0.9123	0.9055	0.8885	0.8854	0.8776	64
42	0.9137	0.9028	0.8975	0.8933	0.8725	62
43	0.9140	0.9040	0.8985	0.8932	0.8847	58
