ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5813	0.5445	0.5100	0.4897	0.4460	25432
3	0.6213	0.5900	0.5597	0.5431	0.5044	8936
4	0.6624	0.6330	0.6034	0.5865	0.5531	6251
5	0.6827	0.6550	0.6286	0.6113	0.5817	3599
6	0.7021	0.6761	0.6503	0.6353	0.6113	2610
7	0.7158	0.6891	0.6638	0.6494	0.6227	1889
8	0.7302	0.7074	0.6850	0.6682	0.6441	1412
9	0.7393	0.7137	0.6924	0.6755	0.6509	1136
10	0.7502	0.7245	0.7030	0.6932	0.6725	917
11	0.7567	0.7336	0.7094	0.6983	0.6644	837
12	0.7654	0.7422	0.7203	0.7095	0.6879	651
13	0.7721	0.7493	0.7276	0.7153	0.6836	543
14	0.7790	0.7568	0.7370	0.7269	0.6932	499
15	0.7851	0.7616	0.7446	0.7336	0.7130	428
16	0.7901	0.7694	0.7491	0.7341	0.7051	365
17	0.7923	0.7694	0.7488	0.7390	0.7161	306
18	0.7963	0.7724	0.7565	0.7481	0.7215	285
19	0.8003	0.7840	0.7587	0.7433	0.7191	238
20	0.8018	0.7809	0.7621	0.7454	0.7192	222
21	0.8079	0.7882	0.7674	0.7536	0.7362	227
22	0.8094	0.7851	0.7705	0.7606	0.7381	179
23	0.8144	0.7949	0.7777	0.7641	0.7496	184
24	0.8157	0.7980	0.7746	0.7611	0.7497	168
25	0.8172	0.8006	0.7766	0.7617	0.7264	158
26	0.8201	0.7985	0.7831	0.7779	0.7525	136
27	0.8244	0.8064	0.7857	0.7802	0.7684	113
28	0.8269	0.8061	0.7851	0.7791	0.7448	155
29	0.8253	0.8085	0.7900	0.7767	0.7478	114
30	0.8312	0.8099	0.7973	0.7852	0.7722	119
31	0.8284	0.8117	0.7936	0.7850	0.7589	83
32	0.8349	0.8155	0.8053	0.7967	0.7737	110
33	0.8368	0.8195	0.8011	0.7849	0.7729	97
34	0.8332	0.8158	0.7980	0.7951	0.7786	69
35	0.8408	0.8268	0.8094	0.8025	0.7774	83
36	0.8420	0.8275	0.8056	0.7938	0.7585	80
37	0.8384	0.8183	0.8033	0.7921	0.7717	79
38	0.8459	0.8249	0.8068	0.8019	0.7705	67
39	0.8429	0.8255	0.8150	0.7983	0.7872	66
40	0.8538	0.8352	0.8176	0.8145	0.8071	54
41	0.8525	0.8384	0.8203	0.8147	0.7973	70
42	0.8532	0.8289	0.8207	0.8195	0.7849	55
43	0.8538	0.8411	0.8338	0.8264	0.8029	60
44	0.8534	0.8349	0.8221	0.8086	0.8009	58
