ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5655	0.5289	0.4955	0.4751	0.4348	24902
3	0.6044	0.5737	0.5450	0.5254	0.4887	8552
4	0.6471	0.6173	0.5907	0.5730	0.5387	6163
5	0.6651	0.6385	0.6123	0.5926	0.5658	3428
6	0.6851	0.6584	0.6319	0.6151	0.5786	2481
7	0.7002	0.6738	0.6474	0.6336	0.6005	1812
8	0.7136	0.6879	0.6645	0.6486	0.6160	1431
9	0.7250	0.6997	0.6754	0.6601	0.6317	1130
10	0.7326	0.7070	0.6827	0.6710	0.6409	878
11	0.7425	0.7185	0.6962	0.6796	0.6565	701
12	0.7466	0.7233	0.6995	0.6882	0.6644	637
13	0.7565	0.7340	0.7115	0.6970	0.6741	546
14	0.7579	0.7362	0.7100	0.6949	0.6780	503
15	0.7645	0.7398	0.7147	0.7003	0.6726	425
16	0.7754	0.7526	0.7316	0.7204	0.6957	333
17	0.7765	0.7535	0.7264	0.7138	0.6953	337
18	0.7828	0.7609	0.7431	0.7354	0.7006	271
19	0.7801	0.7598	0.7342	0.7172	0.6983	245
20	0.7839	0.7620	0.7420	0.7297	0.6945	246
21	0.7884	0.7681	0.7450	0.7251	0.7102	221
22	0.7982	0.7772	0.7605	0.7461	0.7282	187
23	0.7956	0.7742	0.7524	0.7369	0.7059	166
24	0.8007	0.7810	0.7536	0.7455	0.7188	168
25	0.8048	0.7825	0.7626	0.7519	0.7271	155
26	0.8017	0.7777	0.7629	0.7420	0.7264	138
27	0.8085	0.7865	0.7621	0.7499	0.7238	125
28	0.8135	0.7903	0.7759	0.7609	0.7293	126
29	0.8115	0.7909	0.7589	0.7512	0.7422	101
30	0.8129	0.7911	0.7761	0.7556	0.7325	92
31	0.8128	0.7973	0.7693	0.7645	0.7398	121
32	0.8178	0.8017	0.7779	0.7699	0.7419	86
33	0.8198	0.8015	0.7842	0.7782	0.7604	66
34	0.8213	0.8055	0.7835	0.7631	0.7583	73
35	0.8225	0.8044	0.7833	0.7718	0.7648	83
36	0.8235	0.8018	0.7934	0.7836	0.7557	75
37	0.8265	0.8131	0.7803	0.7566	0.7478	74
38	0.8258	0.8047	0.7833	0.7778	0.7353	65
39	0.8332	0.8111	0.7947	0.7820	0.7638	67
40	0.8346	0.8216	0.7957	0.7908	0.7714	69
