ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5878	0.5508	0.5160	0.4944	0.4501	25138
3	0.6290	0.5971	0.5664	0.5476	0.5133	9095
4	0.6685	0.6403	0.6103	0.5931	0.5558	6159
5	0.6891	0.6623	0.6346	0.6194	0.5887	3616
6	0.7083	0.6826	0.6580	0.6398	0.6114	2524
7	0.7241	0.6994	0.6736	0.6598	0.6320	1829
8	0.7369	0.7122	0.6894	0.6751	0.6445	1511
9	0.7474	0.7251	0.7005	0.6847	0.6626	1149
10	0.7563	0.7342	0.7107	0.6954	0.6745	930
11	0.7651	0.7428	0.7196	0.7091	0.6811	785
12	0.7721	0.7513	0.7300	0.7153	0.6783	649
13	0.7802	0.7578	0.7364	0.7238	0.6946	561
14	0.7866	0.7666	0.7405	0.7277	0.7005	433
15	0.7868	0.7647	0.7487	0.7340	0.7069	454
16	0.7938	0.7737	0.7551	0.7394	0.7152	393
17	0.8013	0.7802	0.7588	0.7433	0.7242	322
18	0.8063	0.7887	0.7634	0.7520	0.7309	290
19	0.8100	0.7915	0.7709	0.7552	0.7278	263
20	0.8081	0.7823	0.7644	0.7570	0.7399	219
21	0.8141	0.7981	0.7722	0.7644	0.7382	220
22	0.8154	0.7975	0.7768	0.7650	0.7553	198
23	0.8222	0.8037	0.7852	0.7733	0.7541	178
24	0.8207	0.8014	0.7854	0.7753	0.7536	154
25	0.8257	0.8085	0.7921	0.7793	0.7552	167
26	0.8280	0.8084	0.7926	0.7857	0.7726	129
27	0.8302	0.8109	0.7924	0.7873	0.7699	126
28	0.8349	0.8144	0.7919	0.7826	0.7722	135
29	0.8296	0.8155	0.7976	0.7922	0.7846	103
30	0.8376	0.8194	0.8047	0.7938	0.7795	103
31	0.8409	0.8211	0.8048	0.7979	0.7810	116
32	0.8396	0.8195	0.8047	0.7979	0.7824	86
33	0.8456	0.8222	0.8094	0.8041	0.7905	90
34	0.8451	0.8273	0.8053	0.8004	0.7773	85
35	0.8481	0.8344	0.8146	0.8047	0.7983	76
36	0.8463	0.8325	0.8094	0.8008	0.7878	90
37	0.8501	0.8317	0.8188	0.8159	0.7905	76
38	0.8534	0.8357	0.8267	0.8107	0.7998	67
39	0.8564	0.8430	0.8308	0.8194	0.8127	57
40	0.8507	0.8362	0.8127	0.8019	0.7904	67
41	0.8562	0.8446	0.8306	0.8081	0.7953	66
42	0.8596	0.8368	0.8294	0.8281	0.7861	62
