ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6580	0.6169	0.5770	0.5522	0.5032	27390
3	0.7034	0.6703	0.6379	0.6193	0.5830	11072
4	0.7402	0.7103	0.6829	0.6653	0.6317	6712
5	0.7628	0.7367	0.7117	0.6970	0.6640	4154
6	0.7806	0.7562	0.7325	0.7179	0.6895	2938
7	0.7979	0.7756	0.7525	0.7394	0.7176	2250
8	0.8092	0.7873	0.7669	0.7553	0.7325	1616
9	0.8202	0.7996	0.7798	0.7695	0.7455	1302
10	0.8297	0.8117	0.7937	0.7833	0.7602	1112
11	0.8381	0.8198	0.8005	0.7896	0.7704	890
12	0.8436	0.8256	0.8084	0.7954	0.7761	698
13	0.8504	0.8343	0.8177	0.8057	0.7870	611
14	0.8555	0.8394	0.8243	0.8128	0.7940	555
15	0.8614	0.8451	0.8293	0.8184	0.8007	487
16	0.8641	0.8487	0.8366	0.8258	0.8092	418
17	0.8720	0.8604	0.8453	0.8335	0.8183	410
18	0.8752	0.8611	0.8472	0.8366	0.8275	307
19	0.8749	0.8611	0.8482	0.8394	0.8324	283
20	0.8795	0.8670	0.8536	0.8426	0.8238	262
21	0.8838	0.8699	0.8570	0.8499	0.8422	238
22	0.8865	0.8725	0.8603	0.8536	0.8357	235
23	0.8921	0.8805	0.8711	0.8654	0.8579	225
24	0.8926	0.8799	0.8635	0.8569	0.8431	206
25	0.8956	0.8858	0.8721	0.8620	0.8466	174
26	0.8989	0.8866	0.8755	0.8658	0.8506	175
27	0.8997	0.8909	0.8814	0.8736	0.8591	140
28	0.8991	0.8872	0.8784	0.8714	0.8630	143
29	0.9030	0.8947	0.8793	0.8702	0.8652	109
30	0.9064	0.8972	0.8876	0.8821	0.8744	113
31	0.9069	0.8967	0.8876	0.8820	0.8738	108
32	0.9102	0.8996	0.8906	0.8762	0.8664	112
33	0.9095	0.8995	0.8918	0.8869	0.8772	89
34	0.9127	0.9038	0.8943	0.8863	0.8748	86
35	0.9151	0.9036	0.8956	0.8940	0.8853	80
36	0.9146	0.9041	0.8917	0.8863	0.8638	86
37	0.9155	0.9075	0.8954	0.8926	0.8720	86
38	0.9190	0.9078	0.9029	0.8985	0.8893	71
39	0.9180	0.9060	0.8986	0.8901	0.8786	70
40	0.9201	0.9130	0.9025	0.9005	0.8915	64
41	0.9224	0.9155	0.9017	0.8984	0.8888	81
42	0.9239	0.9150	0.9066	0.8955	0.8939	57
43	0.9254	0.9156	0.9116	0.9083	0.8904	69
44	0.9242	0.9163	0.9056	0.9007	0.8828	57
45	0.9270	0.9176	0.9097	0.9048	0.9042	52
