ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5835	0.5460	0.5119	0.4908	0.4482	24801
3	0.6244	0.5924	0.5615	0.5428	0.5058	8926
4	0.6644	0.6344	0.6073	0.5891	0.5513	5984
5	0.6841	0.6572	0.6306	0.6116	0.5762	3573
6	0.7036	0.6771	0.6521	0.6356	0.6028	2456
7	0.7202	0.6954	0.6720	0.6559	0.6195	1929
8	0.7321	0.7092	0.6835	0.6685	0.6299	1342
9	0.7419	0.7179	0.6947	0.6785	0.6404	1135
10	0.7509	0.7286	0.7040	0.6860	0.6594	919
11	0.7592	0.7363	0.7133	0.6975	0.6663	777
12	0.7687	0.7460	0.7243	0.7102	0.6770	636
13	0.7716	0.7518	0.7253	0.7123	0.6831	547
14	0.7817	0.7601	0.7358	0.7222	0.6907	480
15	0.7831	0.7624	0.7432	0.7328	0.7015	401
16	0.7910	0.7698	0.7482	0.7364	0.7168	391
17	0.7943	0.7750	0.7547	0.7444	0.6855	291
18	0.7981	0.7793	0.7544	0.7439	0.7031	286
19	0.8014	0.7803	0.7617	0.7487	0.7257	240
20	0.8052	0.7868	0.7658	0.7484	0.7003	266
21	0.8096	0.7906	0.7687	0.7526	0.7099	206
22	0.8139	0.7956	0.7811	0.7696	0.7426	196
23	0.8172	0.7991	0.7785	0.7600	0.7291	186
24	0.8107	0.7978	0.7727	0.7579	0.7233	165
25	0.8221	0.8048	0.7823	0.7651	0.7504	156
26	0.8255	0.8062	0.7873	0.7796	0.7709	131
27	0.8276	0.8154	0.7917	0.7814	0.7641	124
28	0.8245	0.8061	0.7858	0.7730	0.7412	114
29	0.8308	0.8144	0.7943	0.7789	0.7625	137
30	0.8329	0.8113	0.8005	0.7961	0.7649	98
31	0.8333	0.8144	0.7996	0.7927	0.7790	104
32	0.8346	0.8185	0.8007	0.7952	0.7479	87
33	0.8382	0.8185	0.8024	0.7943	0.7837	92
34	0.8383	0.8245	0.8052	0.7934	0.7663	82
35	0.8408	0.8254	0.8018	0.7907	0.7553	78
36	0.8427	0.8220	0.8002	0.7934	0.7857	57
37	0.8401	0.8186	0.8088	0.8042	0.7938	63
38	0.8466	0.8336	0.8146	0.8071	0.7737	79
39	0.8516	0.8365	0.8278	0.8134	0.7960	70
40	0.8473	0.8324	0.8189	0.8005	0.7700	74
