ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5565	0.5213	0.4874	0.4663	0.4262	24799
3	0.5951	0.5645	0.5347	0.5143	0.4754	8283
4	0.6368	0.6064	0.5774	0.5603	0.5211	6080
5	0.6559	0.6294	0.6001	0.5827	0.5430	3442
6	0.6747	0.6471	0.6209	0.6043	0.5653	2465
7	0.6898	0.6636	0.6376	0.6215	0.5834	1776
8	0.7021	0.6759	0.6508	0.6364	0.5947	1464
9	0.7162	0.6892	0.6649	0.6451	0.6083	1129
10	0.7221	0.6974	0.6731	0.6591	0.6218	864
11	0.7291	0.7041	0.6774	0.6612	0.6155	744
12	0.7397	0.7161	0.6886	0.6736	0.6471	638
13	0.7451	0.7211	0.6950	0.6777	0.6424	550
14	0.7505	0.7275	0.7028	0.6863	0.6404	467
15	0.7603	0.7378	0.7136	0.6984	0.6509	360
16	0.7609	0.7405	0.7160	0.6878	0.6475	354
17	0.7651	0.7412	0.7208	0.7037	0.6721	311
18	0.7728	0.7501	0.7247	0.7115	0.6612	270
19	0.7751	0.7527	0.7299	0.7210	0.7020	282
20	0.7728	0.7514	0.7201	0.6941	0.6534	198
21	0.7820	0.7624	0.7320	0.7189	0.6982	216
22	0.7834	0.7584	0.7368	0.7283	0.6928	181
23	0.7890	0.7659	0.7487	0.7335	0.6916	158
24	0.7899	0.7664	0.7444	0.7257	0.6757	171
25	0.8007	0.7740	0.7585	0.7538	0.7025	143
26	0.7970	0.7773	0.7491	0.7322	0.7159	137
27	0.7932	0.7714	0.7547	0.7326	0.7017	131
28	0.8027	0.7819	0.7622	0.7432	0.7086	126
29	0.8024	0.7820	0.7573	0.7397	0.7069	124
30	0.8022	0.7826	0.7617	0.7275	0.6931	97
31	0.8140	0.7914	0.7726	0.7583	0.7360	84
32	0.8067	0.7930	0.7612	0.7397	0.6913	96
33	0.8126	0.7943	0.7689	0.7549	0.7312	68
34	0.8087	0.7850	0.7676	0.7527	0.7166	66
35	0.8108	0.7922	0.7527	0.7455	0.7122	75
36	0.8103	0.7919	0.7616	0.7478	0.7308	81
37	0.8150	0.7939	0.7771	0.7756	0.7365	64
38	0.8264	0.8123	0.7941	0.7675	0.7507	57
39	0.8169	0.7925	0.7710	0.7633	0.7359	63
40	0.8155	0.7992	0.7669	0.7492	0.7208	59
41	0.8267	0.8102	0.7902	0.7781	0.7396	63
42	0.8264	0.8068	0.7874	0.7632	0.7369	56
43	0.8228	0.8033	0.7831	0.7610	0.7355	57
44	0.8260	0.8011	0.7745	0.7561	0.7435	57
45	0.8208	0.7930	0.7750	0.7457	0.7358	51
