ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5546	0.5186	0.4862	0.4660	0.4277	24435
3	0.5936	0.5630	0.5328	0.5160	0.4778	8324
4	0.6355	0.6057	0.5777	0.5600	0.5230	5973
5	0.6534	0.6260	0.5987	0.5846	0.5510	3403
6	0.6745	0.6463	0.6191	0.6033	0.5675	2397
7	0.6882	0.6625	0.6365	0.6211	0.5862	1783
8	0.7023	0.6739	0.6513	0.6355	0.6055	1407
9	0.7122	0.6855	0.6596	0.6461	0.6146	1137
10	0.7231	0.6988	0.6757	0.6652	0.6184	848
11	0.7283	0.7048	0.6826	0.6663	0.6355	743
12	0.7374	0.7083	0.6851	0.6665	0.6434	585
13	0.7450	0.7212	0.6967	0.6825	0.6460	527
14	0.7515	0.7276	0.7044	0.6868	0.6570	463
15	0.7543	0.7313	0.7080	0.6898	0.6545	374
16	0.7598	0.7333	0.7114	0.7000	0.6627	358
17	0.7629	0.7388	0.7143	0.7064	0.6819	301
18	0.7693	0.7456	0.7238	0.7065	0.6779	279
19	0.7729	0.7519	0.7227	0.7097	0.6814	248
20	0.7726	0.7509	0.7280	0.7100	0.6711	230
21	0.7784	0.7543	0.7336	0.7191	0.6936	201
22	0.7858	0.7616	0.7357	0.7240	0.6732	196
23	0.7902	0.7642	0.7481	0.7363	0.7119	169
24	0.7867	0.7651	0.7350	0.7250	0.6891	177
25	0.7935	0.7713	0.7490	0.7386	0.7150	146
26	0.7917	0.7682	0.7513	0.7417	0.6906	132
27	0.7922	0.7682	0.7452	0.7393	0.6797	127
28	0.7994	0.7697	0.7559	0.7340	0.7104	114
29	0.8041	0.7845	0.7632	0.7495	0.7438	112
30	0.8014	0.7815	0.7596	0.7503	0.7432	101
31	0.8040	0.7837	0.7530	0.7394	0.7075	94
32	0.8081	0.7851	0.7562	0.7409	0.6976	91
33	0.7996	0.7764	0.7598	0.7461	0.7150	79
34	0.8076	0.7873	0.7653	0.7567	0.7345	83
35	0.8141	0.7938	0.7668	0.7531	0.7153	72
36	0.8144	0.7928	0.7635	0.7541	0.7185	55
37	0.8160	0.7893	0.7744	0.7659	0.7184	73
38	0.8146	0.7936	0.7810	0.7696	0.7461	65
39	0.8215	0.7976	0.7796	0.7566	0.7276	61
40	0.8285	0.8092	0.7928	0.7787	0.7505	57
41	0.8195	0.7982	0.7820	0.7712	0.7561	73
42	0.8288	0.8041	0.7822	0.7751	0.7599	57
