ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5717	0.5355	0.5009	0.4802	0.4372	25239
3	0.6113	0.5796	0.5503	0.5300	0.4905	8833
4	0.6520	0.6226	0.5952	0.5768	0.5381	6142
5	0.6722	0.6452	0.6172	0.6004	0.5658	3585
6	0.6924	0.6662	0.6403	0.6233	0.5909	2570
7	0.7075	0.6831	0.6565	0.6401	0.6036	1817
8	0.7211	0.6963	0.6699	0.6547	0.6193	1438
9	0.7292	0.7048	0.6810	0.6640	0.6295	1141
10	0.7395	0.7148	0.6892	0.6751	0.6360	977
11	0.7494	0.7278	0.7038	0.6906	0.6485	776
12	0.7548	0.7308	0.7071	0.6911	0.6579	608
13	0.7599	0.7366	0.7118	0.6992	0.6596	551
14	0.7677	0.7447	0.7217	0.7044	0.6698	452
15	0.7706	0.7481	0.7252	0.7102	0.6829	429
16	0.7798	0.7574	0.7399	0.7232	0.6984	339
17	0.7822	0.7609	0.7314	0.7222	0.6724	295
18	0.7859	0.7660	0.7426	0.7263	0.7014	341
19	0.7939	0.7718	0.7539	0.7377	0.6989	257
20	0.7921	0.7701	0.7511	0.7387	0.7008	228
21	0.7956	0.7750	0.7549	0.7387	0.7098	227
22	0.8017	0.7789	0.7595	0.7507	0.7209	181
23	0.8016	0.7785	0.7644	0.7515	0.6980	185
24	0.8056	0.7824	0.7602	0.7485	0.7167	161
25	0.8062	0.7907	0.7636	0.7470	0.7314	156
26	0.8100	0.7904	0.7705	0.7512	0.7208	140
27	0.8120	0.7854	0.7710	0.7553	0.7357	133
28	0.8162	0.7975	0.7793	0.7719	0.7387	124
29	0.8187	0.8000	0.7774	0.7526	0.7364	129
30	0.8256	0.8092	0.7914	0.7842	0.7642	111
31	0.8235	0.8030	0.7889	0.7791	0.7604	86
32	0.8277	0.8099	0.7951	0.7829	0.7621	97
33	0.8258	0.8091	0.7763	0.7674	0.7371	77
34	0.8295	0.8101	0.7991	0.7854	0.7666	95
35	0.8230	0.8031	0.7742	0.7564	0.7512	78
36	0.8290	0.8075	0.7892	0.7778	0.7357	66
37	0.8339	0.8122	0.7966	0.7900	0.7740	72
38	0.8360	0.8112	0.8043	0.8014	0.7572	62
39	0.8371	0.8161	0.8018	0.7972	0.7909	60
40	0.8449	0.8277	0.8030	0.7877	0.7724	66
41	0.8415	0.8227	0.8050	0.7907	0.7870	63
42	0.8399	0.8184	0.8016	0.7946	0.7714	62
