ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6225	0.5832	0.5458	0.5232	0.4780	25749
3	0.6660	0.6330	0.6033	0.5851	0.5519	9786
4	0.7039	0.6743	0.6468	0.6306	0.5970	6158
5	0.7257	0.6991	0.6727	0.6561	0.6294	3784
6	0.7457	0.7210	0.6968	0.6834	0.6581	2759
7	0.7609	0.7387	0.7143	0.6991	0.6752	1990
8	0.7734	0.7502	0.7289	0.7158	0.6879	1574
9	0.7842	0.7632	0.7427	0.7284	0.7070	1178
10	0.7940	0.7743	0.7543	0.7386	0.7181	952
11	0.8026	0.7828	0.7628	0.7514	0.7248	795
12	0.8093	0.7910	0.7710	0.7635	0.7389	661
13	0.8134	0.7954	0.7752	0.7635	0.7446	593
14	0.8222	0.8065	0.7870	0.7751	0.7506	491
15	0.8236	0.8044	0.7869	0.7752	0.7588	482
16	0.8319	0.8156	0.7961	0.7840	0.7574	360
17	0.8342	0.8185	0.7994	0.7901	0.7739	320
18	0.8382	0.8212	0.8000	0.7918	0.7645	300
19	0.8439	0.8256	0.8108	0.8005	0.7847	280
20	0.8478	0.8338	0.8182	0.8085	0.7936	234
21	0.8493	0.8332	0.8141	0.8048	0.7992	255
22	0.8537	0.8366	0.8193	0.8118	0.7929	201
23	0.8560	0.8429	0.8223	0.8122	0.7976	187
24	0.8594	0.8441	0.8236	0.8180	0.7991	184
25	0.8630	0.8483	0.8373	0.8235	0.8122	152
26	0.8652	0.8502	0.8353	0.8274	0.8149	154
27	0.8677	0.8525	0.8413	0.8361	0.8293	142
28	0.8654	0.8513	0.8398	0.8284	0.8200	124
29	0.8743	0.8628	0.8461	0.8398	0.8333	132
30	0.8737	0.8612	0.8506	0.8374	0.8317	101
31	0.8731	0.8587	0.8472	0.8381	0.8349	101
32	0.8771	0.8662	0.8550	0.8514	0.8335	101
33	0.8798	0.8684	0.8547	0.8442	0.8314	104
34	0.8817	0.8683	0.8547	0.8454	0.8400	99
35	0.8809	0.8655	0.8516	0.8440	0.8310	83
36	0.8848	0.8744	0.8582	0.8524	0.8360	89
37	0.8835	0.8716	0.8621	0.8437	0.8253	70
38	0.8881	0.8754	0.8621	0.8524	0.8351	71
39	0.8879	0.8751	0.8632	0.8549	0.8425	67
40	0.8857	0.8733	0.8627	0.8568	0.8452	63
41	0.8902	0.8774	0.8694	0.8671	0.8453	62
42	0.8936	0.8811	0.8709	0.8655	0.8566	67
43	0.8913	0.8792	0.8713	0.8653	0.8587	54
44	0.8953	0.8840	0.8714	0.8664	0.8541	57
45	0.8954	0.8855	0.8710	0.8661	0.8586	56
