ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5729	0.5363	0.5025	0.4813	0.4380	24876
3	0.6131	0.5823	0.5515	0.5319	0.4962	8696
4	0.6542	0.6257	0.5969	0.5799	0.5436	6064
5	0.6735	0.6467	0.6201	0.6036	0.5701	3537
6	0.6929	0.6671	0.6434	0.6268	0.5928	2446
7	0.7072	0.6819	0.6575	0.6426	0.6097	1843
8	0.7221	0.6975	0.6734	0.6548	0.6147	1443
9	0.7328	0.7070	0.6861	0.6721	0.6437	1137
10	0.7421	0.7187	0.6950	0.6798	0.6518	916
11	0.7519	0.7291	0.7087	0.6958	0.6705	743
12	0.7557	0.7330	0.7080	0.6946	0.6675	638
13	0.7637	0.7398	0.7174	0.7054	0.6710	571
14	0.7692	0.7462	0.7238	0.7121	0.6626	429
15	0.7744	0.7516	0.7304	0.7173	0.6866	407
16	0.7782	0.7550	0.7366	0.7234	0.6995	352
17	0.7832	0.7634	0.7383	0.7235	0.6974	314
18	0.7902	0.7648	0.7467	0.7366	0.7157	309
19	0.7922	0.7731	0.7527	0.7410	0.7194	261
20	0.7956	0.7757	0.7611	0.7431	0.7186	222
21	0.7999	0.7795	0.7645	0.7556	0.7407	217
22	0.8040	0.7790	0.7623	0.7322	0.7177	190
23	0.8055	0.7822	0.7661	0.7516	0.7356	173
24	0.8070	0.7872	0.7639	0.7578	0.7382	149
25	0.8096	0.7922	0.7723	0.7634	0.7442	156
26	0.8068	0.7871	0.7697	0.7573	0.7380	133
27	0.8121	0.7953	0.7718	0.7542	0.7281	125
28	0.8198	0.7996	0.7863	0.7674	0.7587	99
29	0.8219	0.8024	0.7796	0.7727	0.7599	128
30	0.8207	0.8062	0.7861	0.7676	0.7446	104
31	0.8298	0.8119	0.7939	0.7843	0.7725	94
32	0.8208	0.8021	0.7938	0.7736	0.7506	100
33	0.8272	0.8084	0.7899	0.7758	0.7713	79
34	0.8305	0.8086	0.7851	0.7726	0.7495	86
35	0.8327	0.8157	0.7979	0.7832	0.7638	76
36	0.8326	0.8167	0.7980	0.7891	0.7642	74
37	0.8358	0.8184	0.8022	0.7914	0.7799	73
38	0.8335	0.8227	0.7957	0.7793	0.7606	76
39	0.8399	0.8283	0.8075	0.7950	0.7876	71
40	0.8444	0.8241	0.8045	0.7974	0.7924	59
41	0.8346	0.8184	0.8003	0.7941	0.7839	71
42	0.8428	0.8269	0.8123	0.8097	0.7896	53
43	0.8462	0.8268	0.7955	0.7808	0.7654	54
