ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6044	0.5668	0.5307	0.5087	0.4647	25487
3	0.6467	0.6148	0.5846	0.5659	0.5305	9338
4	0.6854	0.6571	0.6295	0.6142	0.5758	6153
5	0.7075	0.6805	0.6539	0.6385	0.6042	3767
6	0.7260	0.7010	0.6766	0.6615	0.6322	2564
7	0.7406	0.7163	0.6924	0.6774	0.6470	1906
8	0.7547	0.7322	0.7108	0.6960	0.6611	1481
9	0.7641	0.7418	0.7185	0.7074	0.6751	1180
10	0.7729	0.7508	0.7289	0.7151	0.6824	918
11	0.7810	0.7615	0.7389	0.7256	0.7033	792
12	0.7892	0.7700	0.7472	0.7328	0.7025	686
13	0.7950	0.7744	0.7537	0.7412	0.7177	549
14	0.8046	0.7857	0.7647	0.7535	0.7315	483
15	0.8039	0.7827	0.7659	0.7510	0.7224	450
16	0.8113	0.7904	0.7713	0.7613	0.7398	376
17	0.8171	0.7950	0.7771	0.7699	0.7495	323
18	0.8185	0.7993	0.7815	0.7707	0.7531	298
19	0.8256	0.8084	0.7870	0.7750	0.7476	278
20	0.8262	0.8067	0.7888	0.7805	0.7644	274
21	0.8306	0.8119	0.7959	0.7820	0.7653	237
22	0.8324	0.8147	0.7988	0.7907	0.7687	189
23	0.8402	0.8208	0.8044	0.7979	0.7805	179
24	0.8384	0.8226	0.8075	0.7949	0.7785	168
25	0.8416	0.8257	0.8115	0.8008	0.7859	144
26	0.8452	0.8277	0.8161	0.8111	0.7992	164
27	0.8499	0.8356	0.8192	0.7999	0.7699	145
28	0.8493	0.8336	0.8182	0.8066	0.7960	120
29	0.8516	0.8339	0.8207	0.8133	0.8043	120
30	0.8579	0.8386	0.8313	0.8202	0.8128	101
31	0.8561	0.8424	0.8259	0.8209	0.8005	84
32	0.8563	0.8427	0.8216	0.8126	0.7944	92
33	0.8633	0.8403	0.8309	0.8270	0.8142	109
34	0.8614	0.8464	0.8289	0.8244	0.8059	67
35	0.8589	0.8482	0.8242	0.8136	0.7890	75
36	0.8638	0.8495	0.8411	0.8279	0.8140	88
37	0.8664	0.8482	0.8400	0.8275	0.8203	86
38	0.8719	0.8543	0.8457	0.8371	0.8251	59
39	0.8707	0.8591	0.8402	0.8277	0.8127	77
40	0.8666	0.8575	0.8380	0.8349	0.8228	61
41	0.8724	0.8565	0.8479	0.8387	0.8076	62
42	0.8730	0.8553	0.8446	0.8393	0.8279	63
43	0.8752	0.8650	0.8495	0.8428	0.8268	59
