ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5758	0.5390	0.5046	0.4825	0.4426	25388
3	0.6165	0.5855	0.5553	0.5360	0.4999	8930
4	0.6565	0.6274	0.5982	0.5816	0.5440	6053
5	0.6772	0.6495	0.6230	0.6062	0.5764	3599
6	0.6963	0.6703	0.6439	0.6264	0.5953	2539
7	0.7105	0.6854	0.6595	0.6425	0.6107	1903
8	0.7224	0.6977	0.6731	0.6572	0.6291	1505
9	0.7353	0.7122	0.6877	0.6692	0.6302	1145
10	0.7435	0.7184	0.6948	0.6825	0.6489	882
11	0.7523	0.7293	0.7053	0.6898	0.6634	789
12	0.7599	0.7360	0.7139	0.7032	0.6740	646
13	0.7659	0.7460	0.7160	0.6948	0.6695	494
14	0.7739	0.7519	0.7295	0.7161	0.6955	508
15	0.7753	0.7520	0.7348	0.7206	0.6949	445
16	0.7818	0.7621	0.7391	0.7210	0.6935	369
17	0.7859	0.7651	0.7444	0.7362	0.7125	320
18	0.7895	0.7662	0.7408	0.7321	0.6848	277
19	0.7952	0.7755	0.7503	0.7404	0.7110	234
20	0.7993	0.7775	0.7525	0.7412	0.7228	247
21	0.7996	0.7828	0.7628	0.7372	0.7088	204
22	0.8046	0.7839	0.7606	0.7464	0.7168	194
23	0.8084	0.7928	0.7720	0.7602	0.7261	196
24	0.8085	0.7887	0.7686	0.7582	0.7378	157
25	0.8170	0.7949	0.7746	0.7676	0.7388	148
26	0.8160	0.7961	0.7791	0.7673	0.7490	140
27	0.8186	0.8031	0.7904	0.7601	0.7510	137
28	0.8204	0.8005	0.7814	0.7694	0.7461	120
29	0.8192	0.7994	0.7809	0.7643	0.7380	118
30	0.8259	0.8027	0.7802	0.7616	0.7387	128
31	0.8316	0.8160	0.7950	0.7817	0.7582	106
32	0.8293	0.8097	0.7908	0.7788	0.7661	90
33	0.8351	0.8195	0.7938	0.7904	0.7605	102
34	0.8310	0.8116	0.7953	0.7861	0.7622	88
35	0.8309	0.8099	0.7904	0.7776	0.7546	71
36	0.8352	0.8148	0.7947	0.7869	0.7631	71
37	0.8366	0.8216	0.7953	0.7842	0.7599	74
38	0.8452	0.8305	0.8126	0.8044	0.7748	80
39	0.8376	0.8214	0.8061	0.7966	0.7791	59
40	0.8462	0.8307	0.8102	0.7954	0.7937	59
41	0.8438	0.8276	0.8108	0.7849	0.7745	55
42	0.8372	0.8201	0.8014	0.7838	0.7667	58
43	0.8412	0.8175	0.8026	0.7905	0.7558	55
44	0.8507	0.8338	0.8217	0.8106	0.7873	50
