ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5567	0.5208	0.4881	0.4674	0.4289	24118
3	0.5958	0.5649	0.5348	0.5169	0.4800	8037
4	0.6376	0.6084	0.5788	0.5619	0.5252	5991
5	0.6568	0.6293	0.6002	0.5837	0.5514	3386
6	0.6757	0.6491	0.6227	0.6060	0.5679	2319
7	0.6910	0.6654	0.6355	0.6190	0.5905	1721
8	0.7032	0.6777	0.6525	0.6395	0.6034	1433
9	0.7159	0.6899	0.6682	0.6522	0.6152	1013
10	0.7239	0.6988	0.6749	0.6609	0.6260	865
11	0.7312	0.7068	0.6805	0.6621	0.6296	715
12	0.7386	0.7149	0.6914	0.6751	0.6518	650
13	0.7453	0.7215	0.7029	0.6785	0.6473	526
14	0.7505	0.7264	0.7010	0.6852	0.6542	428
15	0.7543	0.7311	0.7080	0.6911	0.6630	387
16	0.7631	0.7411	0.7149	0.7030	0.6811	350
17	0.7690	0.7476	0.7213	0.7050	0.6680	296
18	0.7715	0.7527	0.7195	0.7014	0.6714	294
19	0.7770	0.7551	0.7349	0.7159	0.6754	241
20	0.7786	0.7571	0.7379	0.7182	0.6641	212
21	0.7796	0.7574	0.7311	0.7148	0.6671	195
22	0.7892	0.7612	0.7438	0.7239	0.6958	185
23	0.7796	0.7602	0.7239	0.7022	0.6816	180
24	0.7872	0.7676	0.7455	0.7345	0.7035	143
25	0.7948	0.7707	0.7475	0.7168	0.6946	146
26	0.7994	0.7751	0.7456	0.7327	0.7076	136
27	0.7958	0.7764	0.7578	0.7424	0.7100	126
28	0.8043	0.7874	0.7628	0.7495	0.7319	127
29	0.7987	0.7778	0.7480	0.7390	0.7222	100
30	0.8051	0.7832	0.7546	0.7430	0.7052	98
31	0.8040	0.7787	0.7569	0.7377	0.7194	90
32	0.8014	0.7818	0.7424	0.7313	0.7065	86
33	0.8085	0.7928	0.7702	0.7647	0.7391	75
34	0.8122	0.7954	0.7755	0.7473	0.7227	74
35	0.8125	0.7906	0.7652	0.7519	0.7178	85
36	0.8171	0.7969	0.7607	0.7542	0.7254	86
37	0.8198	0.8003	0.7823	0.7743	0.7484	72
38	0.8190	0.7987	0.7834	0.7621	0.7477	54
39	0.8193	0.8013	0.7720	0.7637	0.7468	55
