ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5603	0.5242	0.4911	0.4698	0.4316	24582
3	0.5996	0.5682	0.5389	0.5220	0.4827	8377
4	0.6411	0.6109	0.5822	0.5662	0.5329	5981
5	0.6608	0.6325	0.6077	0.5927	0.5541	3442
6	0.6809	0.6547	0.6299	0.6141	0.5771	2444
7	0.6942	0.6697	0.6404	0.6250	0.5930	1824
8	0.7074	0.6820	0.6573	0.6411	0.6035	1390
9	0.7172	0.6914	0.6656	0.6492	0.6217	1094
10	0.7313	0.7057	0.6832	0.6683	0.6372	906
11	0.7355	0.7122	0.6845	0.6669	0.6454	724
12	0.7438	0.7211	0.6983	0.6792	0.6594	641
13	0.7497	0.7268	0.7021	0.6828	0.6552	534
14	0.7562	0.7349	0.7080	0.6941	0.6705	446
15	0.7606	0.7373	0.7125	0.6944	0.6633	379
16	0.7671	0.7418	0.7173	0.7093	0.6905	374
17	0.7705	0.7479	0.7247	0.7100	0.6965	311
18	0.7755	0.7508	0.7270	0.7051	0.6599	296
19	0.7794	0.7575	0.7381	0.7184	0.6747	244
20	0.7830	0.7615	0.7332	0.7237	0.7029	214
21	0.7890	0.7698	0.7490	0.7350	0.7062	194
22	0.7870	0.7634	0.7354	0.7215	0.6832	195
23	0.7884	0.7681	0.7385	0.7291	0.7077	168
24	0.7924	0.7677	0.7453	0.7357	0.7241	161
25	0.7944	0.7718	0.7452	0.7326	0.7033	143
26	0.7989	0.7829	0.7552	0.7379	0.7119	129
27	0.8028	0.7807	0.7532	0.7480	0.7209	127
28	0.8104	0.7944	0.7771	0.7617	0.7384	104
29	0.8044	0.7871	0.7661	0.7480	0.7212	116
30	0.8110	0.7891	0.7710	0.7541	0.7293	111
31	0.8078	0.7898	0.7697	0.7569	0.7462	97
32	0.8108	0.7879	0.7667	0.7516	0.7160	90
33	0.8126	0.7907	0.7689	0.7605	0.7417	81
34	0.8147	0.7955	0.7842	0.7708	0.7470	76
35	0.8119	0.7970	0.7659	0.7529	0.7281	72
36	0.8225	0.7977	0.7842	0.7695	0.7345	74
37	0.8260	0.8161	0.7818	0.7548	0.7525	57
38	0.8296	0.8155	0.7960	0.7780	0.7693	65
39	0.8245	0.8042	0.7866	0.7713	0.7484	60
40	0.8268	0.8102	0.7922	0.7659	0.7627	55
41	0.8210	0.7934	0.7730	0.7589	0.7473	64
42	0.8216	0.7947	0.7767	0.7611	0.7513	53
43	0.8287	0.8189	0.7932	0.7885	0.7677	55
44	0.8342	0.8157	0.8014	0.7819	0.7577	50
