ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5745	0.5378	0.5035	0.4822	0.4403	25195
3	0.6142	0.5826	0.5517	0.5330	0.4981	8811
4	0.6549	0.6263	0.5962	0.5792	0.5416	6142
5	0.6752	0.6470	0.6206	0.6041	0.5721	3508
6	0.6946	0.6683	0.6429	0.6265	0.5960	2559
7	0.7078	0.6828	0.6567	0.6410	0.6056	1841
8	0.7221	0.6958	0.6711	0.6566	0.6300	1467
9	0.7337	0.7098	0.6853	0.6729	0.6426	1145
10	0.7442	0.7205	0.6958	0.6795	0.6542	943
11	0.7488	0.7255	0.6980	0.6827	0.6555	759
12	0.7591	0.7371	0.7151	0.6989	0.6780	679
13	0.7640	0.7384	0.7181	0.7057	0.6751	537
14	0.7716	0.7489	0.7217	0.7086	0.6919	460
15	0.7740	0.7531	0.7308	0.7132	0.6940	402
16	0.7820	0.7607	0.7417	0.7304	0.6884	400
17	0.7860	0.7657	0.7460	0.7328	0.7092	297
18	0.7918	0.7703	0.7486	0.7369	0.7181	286
19	0.7932	0.7648	0.7425	0.7339	0.7212	269
20	0.7967	0.7760	0.7539	0.7369	0.7261	231
21	0.7989	0.7767	0.7588	0.7461	0.7187	207
22	0.7969	0.7747	0.7549	0.7463	0.7125	198
23	0.8080	0.7865	0.7619	0.7525	0.7355	168
24	0.8119	0.7954	0.7716	0.7539	0.7126	152
25	0.8092	0.7886	0.7702	0.7665	0.7416	134
26	0.8151	0.7924	0.7761	0.7633	0.7433	137
27	0.8157	0.7933	0.7781	0.7632	0.7418	138
28	0.8183	0.7987	0.7818	0.7756	0.7457	139
29	0.8190	0.8007	0.7767	0.7692	0.7588	126
30	0.8182	0.7994	0.7806	0.7638	0.7415	99
31	0.8266	0.8074	0.7861	0.7764	0.7384	93
32	0.8264	0.8058	0.7862	0.7734	0.7578	97
33	0.8295	0.8165	0.8039	0.7912	0.7683	87
34	0.8330	0.8145	0.7966	0.7882	0.7488	84
35	0.8299	0.8069	0.7903	0.7831	0.7535	69
36	0.8341	0.8145	0.8030	0.7891	0.7730	73
37	0.8359	0.8159	0.8010	0.7853	0.7431	79
38	0.8371	0.8167	0.8020	0.7835	0.7718	66
39	0.8348	0.8182	0.8010	0.7966	0.7691	68
