ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5580	0.5224	0.4899	0.4682	0.4312	26388
3	0.5964	0.5654	0.5359	0.5169	0.4843	8769
4	0.6385	0.6095	0.5818	0.5612	0.5276	6523
5	0.6568	0.6295	0.6019	0.5869	0.5529	3677
6	0.6761	0.6492	0.6206	0.6069	0.5701	2650
7	0.6931	0.6680	0.6415	0.6265	0.5904	1894
8	0.7045	0.6774	0.6525	0.6372	0.6113	1498
9	0.7139	0.6908	0.6626	0.6466	0.6156	1174
10	0.7263	0.7021	0.6802	0.6664	0.6355	935
11	0.7357	0.7154	0.6867	0.6703	0.6426	769
12	0.7380	0.7126	0.6919	0.6706	0.6386	664
13	0.7445	0.7214	0.6941	0.6792	0.6495	569
14	0.7544	0.7293	0.7050	0.6889	0.6595	520
15	0.7566	0.7330	0.7067	0.6960	0.6672	438
16	0.7596	0.7384	0.7132	0.6995	0.6695	347
17	0.7701	0.7501	0.7279	0.7159	0.6711	324
18	0.7696	0.7470	0.7190	0.7071	0.6820	288
19	0.7764	0.7567	0.7273	0.7118	0.6891	270
20	0.7753	0.7532	0.7308	0.7163	0.6923	211
21	0.7792	0.7564	0.7341	0.7177	0.6927	236
22	0.7860	0.7634	0.7395	0.7200	0.7010	214
23	0.7885	0.7683	0.7434	0.7222	0.6888	188
24	0.7931	0.7752	0.7509	0.7329	0.6889	164
25	0.7977	0.7783	0.7522	0.7379	0.7219	174
26	0.7950	0.7777	0.7559	0.7426	0.7144	158
27	0.8025	0.7809	0.7575	0.7435	0.7213	139
28	0.7971	0.7806	0.7565	0.7409	0.7272	130
29	0.8053	0.7820	0.7661	0.7480	0.7337	110
30	0.8021	0.7757	0.7558	0.7365	0.7188	116
31	0.8034	0.7841	0.7656	0.7498	0.7400	102
32	0.8089	0.7892	0.7683	0.7596	0.7288	105
33	0.8122	0.7909	0.7667	0.7507	0.7199	69
34	0.8083	0.7894	0.7731	0.7643	0.7450	82
35	0.8171	0.7996	0.7784	0.7702	0.7389	88
36	0.8227	0.8072	0.7904	0.7676	0.7424	82
37	0.8185	0.7991	0.7850	0.7724	0.7476	70
38	0.8271	0.8089	0.7881	0.7823	0.7564	63
39	0.8273	0.8062	0.7932	0.7734	0.7440	55
40	0.8268	0.8051	0.7717	0.7679	0.7499	70
41	0.8262	0.8070	0.7913	0.7836	0.7615	69
42	0.8240	0.8037	0.7853	0.7602	0.7388	61
43	0.8200	0.7950	0.7780	0.7650	0.7436	63
44	0.8291	0.8070	0.7784	0.7768	0.7702	57
