ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5691	0.5324	0.4980	0.4775	0.4366	24899
3	0.6083	0.5770	0.5478	0.5294	0.4962	8543
4	0.6503	0.6203	0.5910	0.5734	0.5396	6056
5	0.6701	0.6438	0.6165	0.6003	0.5683	3554
6	0.6873	0.6608	0.6351	0.6191	0.5912	2486
7	0.7044	0.6785	0.6515	0.6357	0.6066	1796
8	0.7181	0.6936	0.6694	0.6538	0.6245	1359
9	0.7278	0.7037	0.6784	0.6606	0.6305	1181
10	0.7370	0.7133	0.6903	0.6728	0.6534	909
11	0.7441	0.7190	0.6977	0.6800	0.6538	759
12	0.7525	0.7304	0.7070	0.6943	0.6585	634
13	0.7589	0.7340	0.7109	0.7008	0.6733	528
14	0.7658	0.7450	0.7210	0.7056	0.6819	480
15	0.7702	0.7459	0.7286	0.7153	0.6903	384
16	0.7743	0.7516	0.7313	0.7174	0.6894	351
17	0.7817	0.7587	0.7369	0.7216	0.6879	322
18	0.7839	0.7628	0.7425	0.7272	0.7087	300
19	0.7893	0.7704	0.7453	0.7245	0.7102	272
20	0.7889	0.7668	0.7470	0.7357	0.7141	237
21	0.7971	0.7744	0.7559	0.7473	0.7139	229
22	0.7981	0.7770	0.7559	0.7401	0.7207	173
23	0.8017	0.7819	0.7609	0.7520	0.7059	168
24	0.8021	0.7849	0.7594	0.7546	0.7373	172
25	0.8028	0.7826	0.7611	0.7415	0.7136	151
26	0.8093	0.7876	0.7637	0.7555	0.7478	136
27	0.8099	0.7955	0.7695	0.7648	0.7424	121
28	0.8137	0.7883	0.7672	0.7563	0.7357	119
29	0.8176	0.8044	0.7841	0.7777	0.7435	100
30	0.8146	0.7958	0.7813	0.7723	0.7289	98
31	0.8248	0.8107	0.7949	0.7866	0.7536	90
32	0.8214	0.8020	0.7864	0.7646	0.7341	73
33	0.8229	0.7994	0.7882	0.7768	0.7392	91
34	0.8288	0.8106	0.7882	0.7766	0.7497	76
35	0.8297	0.8101	0.7950	0.7804	0.7443	73
36	0.8275	0.8021	0.7842	0.7758	0.7354	90
37	0.8362	0.8170	0.7935	0.7904	0.7512	70
38	0.8340	0.8127	0.8047	0.7971	0.7869	67
39	0.8380	0.8195	0.8056	0.7901	0.7608	66
40	0.8373	0.8278	0.8054	0.7894	0.7723	55
41	0.8349	0.8125	0.7998	0.7914	0.7830	53
42	0.8358	0.8190	0.8007	0.7863	0.7758	51
43	0.8384	0.8186	0.8032	0.7977	0.7564	54
44	0.8395	0.8197	0.8006	0.7956	0.7734	50
