ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6091	0.5708	0.5344	0.5114	0.4668	25410
3	0.6517	0.6201	0.5879	0.5699	0.5310	9532
4	0.6906	0.6613	0.6331	0.6154	0.5801	6050
5	0.7114	0.6850	0.6590	0.6420	0.6091	3735
6	0.7311	0.7057	0.6798	0.6651	0.6340	2631
7	0.7468	0.7225	0.6988	0.6853	0.6577	1919
8	0.7590	0.7340	0.7116	0.6971	0.6716	1549
9	0.7693	0.7488	0.7286	0.7136	0.6760	1131
10	0.7804	0.7588	0.7372	0.7243	0.7000	963
11	0.7866	0.7648	0.7427	0.7294	0.7085	784
12	0.7924	0.7738	0.7488	0.7394	0.7147	634
13	0.8017	0.7807	0.7618	0.7497	0.7282	580
14	0.8063	0.7856	0.7651	0.7501	0.7193	462
15	0.8104	0.7913	0.7726	0.7584	0.7313	419
16	0.8143	0.7988	0.7787	0.7664	0.7429	421
17	0.8204	0.8023	0.7843	0.7747	0.7470	338
18	0.8275	0.8091	0.7917	0.7844	0.7652	299
19	0.8281	0.8071	0.7914	0.7853	0.7612	279
20	0.8329	0.8162	0.8014	0.7864	0.7594	242
21	0.8348	0.8185	0.8027	0.7882	0.7678	236
22	0.8378	0.8220	0.8066	0.7912	0.7705	207
23	0.8415	0.8268	0.8064	0.7934	0.7806	180
24	0.8427	0.8275	0.8140	0.8075	0.7805	179
25	0.8476	0.8313	0.8116	0.8052	0.7918	141
26	0.8498	0.8338	0.8195	0.8105	0.7889	160
27	0.8502	0.8366	0.8186	0.8078	0.7881	133
28	0.8551	0.8412	0.8245	0.8111	0.8076	132
29	0.8525	0.8352	0.8228	0.8156	0.8019	114
30	0.8585	0.8416	0.8319	0.8232	0.8174	86
31	0.8617	0.8473	0.8348	0.8297	0.8047	97
32	0.8674	0.8526	0.8399	0.8370	0.8181	104
33	0.8645	0.8494	0.8390	0.8291	0.8018	71
34	0.8632	0.8483	0.8347	0.8278	0.8218	81
35	0.8654	0.8527	0.8365	0.8245	0.8069	87
36	0.8715	0.8565	0.8445	0.8224	0.7945	76
37	0.8728	0.8615	0.8398	0.8353	0.8221	78
38	0.8722	0.8621	0.8482	0.8397	0.8155	80
39	0.8733	0.8620	0.8481	0.8416	0.8313	72
40	0.8757	0.8614	0.8531	0.8474	0.8385	54
41	0.8778	0.8621	0.8508	0.8431	0.8336	71
42	0.8779	0.8654	0.8517	0.8447	0.8070	66
43	0.8806	0.8676	0.8597	0.8480	0.8387	50
