ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5679	0.5312	0.4982	0.4764	0.4367	24922
3	0.6075	0.5760	0.5463	0.5275	0.4907	8606
4	0.6482	0.6190	0.5906	0.5726	0.5377	6141
5	0.6678	0.6406	0.6120	0.5943	0.5632	3553
6	0.6879	0.6621	0.6361	0.6209	0.5901	2433
7	0.7028	0.6763	0.6508	0.6355	0.6013	1863
8	0.7160	0.6913	0.6655	0.6508	0.6231	1409
9	0.7267	0.7002	0.6751	0.6626	0.6281	1112
10	0.7340	0.7090	0.6871	0.6724	0.6434	943
11	0.7458	0.7241	0.7011	0.6838	0.6514	749
12	0.7504	0.7269	0.6996	0.6891	0.6697	586
13	0.7575	0.7324	0.7126	0.7052	0.6831	532
14	0.7621	0.7411	0.7173	0.6999	0.6635	467
15	0.7681	0.7467	0.7229	0.7041	0.6744	412
16	0.7734	0.7508	0.7295	0.7170	0.6893	371
17	0.7788	0.7585	0.7365	0.7228	0.6994	332
18	0.7814	0.7580	0.7374	0.7284	0.7101	279
19	0.7883	0.7631	0.7442	0.7340	0.6686	263
20	0.7903	0.7656	0.7467	0.7349	0.7064	242
21	0.7943	0.7745	0.7517	0.7359	0.7024	185
22	0.7992	0.7736	0.7511	0.7421	0.7280	206
23	0.7972	0.7757	0.7549	0.7399	0.7079	170
24	0.8007	0.7816	0.7656	0.7573	0.7045	155
25	0.8054	0.7866	0.7618	0.7545	0.7317	138
26	0.8069	0.7859	0.7691	0.7599	0.7172	149
27	0.8124	0.7935	0.7769	0.7484	0.7033	123
28	0.8185	0.8027	0.7795	0.7668	0.7379	141
29	0.8131	0.7969	0.7707	0.7450	0.7037	96
30	0.8119	0.7914	0.7732	0.7541	0.7332	103
31	0.8183	0.8001	0.7807	0.7749	0.7430	96
32	0.8217	0.8052	0.7807	0.7661	0.7270	92
33	0.8226	0.8018	0.7875	0.7764	0.7480	95
34	0.8257	0.8055	0.7763	0.7645	0.7353	81
35	0.8256	0.8080	0.7888	0.7829	0.7574	68
36	0.8273	0.8126	0.7883	0.7740	0.7348	77
37	0.8311	0.8126	0.8013	0.7903	0.7812	62
38	0.8316	0.8160	0.8049	0.7928	0.7741	68
39	0.8261	0.8086	0.7893	0.7759	0.7601	72
40	0.8314	0.8130	0.8025	0.7821	0.7571	54
41	0.8336	0.8130	0.8017	0.7773	0.7608	73
42	0.8385	0.8241	0.8093	0.7967	0.7595	56
43	0.8427	0.8279	0.8117	0.7836	0.7707	57
