ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.6154	0.5768	0.5400	0.5180	0.4726	25623
3	0.6586	0.6257	0.5955	0.5770	0.5439	9567
4	0.6961	0.6682	0.6386	0.6213	0.5901	6214
5	0.7188	0.6920	0.6664	0.6527	0.6208	3717
6	0.7380	0.7131	0.6882	0.6740	0.6506	2717
7	0.7529	0.7281	0.7062	0.6919	0.6659	1936
8	0.7661	0.7443	0.7228	0.7114	0.6849	1501
9	0.7743	0.7523	0.7318	0.7171	0.6915	1181
10	0.7853	0.7631	0.7451	0.7299	0.7049	959
11	0.7935	0.7735	0.7542	0.7415	0.7173	779
12	0.7998	0.7790	0.7597	0.7483	0.7261	710
13	0.8088	0.7883	0.7707	0.7597	0.7326	544
14	0.8138	0.7959	0.7780	0.7677	0.7459	474
15	0.8191	0.8009	0.7863	0.7756	0.7579	445
16	0.8247	0.8056	0.7869	0.7717	0.7541	394
17	0.8277	0.8096	0.7937	0.7829	0.7584	361
18	0.8331	0.8131	0.7976	0.7866	0.7660	277
19	0.8330	0.8171	0.8026	0.7889	0.7631	262
20	0.8387	0.8233	0.8116	0.7981	0.7790	251
21	0.8398	0.8243	0.8043	0.7965	0.7751	242
22	0.8436	0.8306	0.8183	0.8057	0.7924	212
23	0.8485	0.8339	0.8184	0.8101	0.7957	176
24	0.8510	0.8361	0.8194	0.8061	0.7885	178
25	0.8535	0.8363	0.8180	0.8117	0.7920	158
26	0.8567	0.8409	0.8267	0.8211	0.8052	162
27	0.8580	0.8449	0.8304	0.8180	0.8101	127
28	0.8628	0.8485	0.8328	0.8209	0.8058	134
29	0.8619	0.8477	0.8344	0.8284	0.8182	110
30	0.8625	0.8444	0.8308	0.8246	0.8089	123
31	0.8686	0.8571	0.8428	0.8369	0.8330	101
32	0.8714	0.8587	0.8433	0.8333	0.8177	98
33	0.8723	0.8599	0.8421	0.8282	0.8157	79
34	0.8719	0.8598	0.8425	0.8309	0.8095	95
35	0.8727	0.8590	0.8490	0.8456	0.8358	86
36	0.8778	0.8675	0.8536	0.8494	0.8336	85
37	0.8802	0.8702	0.8582	0.8475	0.8417	82
38	0.8794	0.8641	0.8512	0.8466	0.8407	68
39	0.8828	0.8705	0.8600	0.8548	0.8364	71
40	0.8811	0.8694	0.8507	0.8418	0.8395	56
41	0.8819	0.8704	0.8563	0.8495	0.8337	61
42	0.8845	0.8744	0.8607	0.8496	0.8431	74
