ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5666	0.5303	0.4967	0.4749	0.4338	25000
3	0.6066	0.5745	0.5458	0.5275	0.4912	8530
4	0.6472	0.6174	0.5887	0.5716	0.5319	6147
5	0.6673	0.6393	0.6104	0.5962	0.5657	3422
6	0.6867	0.6614	0.6366	0.6213	0.5717	2656
7	0.7006	0.6737	0.6501	0.6352	0.6007	1747
8	0.7154	0.6895	0.6659	0.6541	0.6087	1441
9	0.7255	0.7009	0.6782	0.6594	0.6269	1117
10	0.7347	0.7110	0.6851	0.6681	0.6307	879
11	0.7423	0.7186	0.6949	0.6728	0.6441	766
12	0.7491	0.7272	0.7053	0.6906	0.6604	601
13	0.7583	0.7340	0.7122	0.6959	0.6570	531
14	0.7609	0.7392	0.7113	0.6965	0.6702	476
15	0.7667	0.7453	0.7211	0.7054	0.6753	442
16	0.7782	0.7575	0.7333	0.7196	0.6933	382
17	0.7767	0.7590	0.7389	0.7181	0.6730	333
18	0.7790	0.7535	0.7366	0.7233	0.6802	258
19	0.7821	0.7588	0.7371	0.7227	0.6761	272
20	0.7910	0.7701	0.7493	0.7406	0.7104	219
21	0.7907	0.7677	0.7486	0.7361	0.6948	207
22	0.7916	0.7700	0.7480	0.7339	0.6852	181
23	0.8044	0.7814	0.7655	0.7514	0.7299	200
24	0.8010	0.7789	0.7541	0.7321	0.6980	164
25	0.8037	0.7827	0.7631	0.7514	0.7249	143
26	0.8057	0.7890	0.7658	0.7529	0.7204	149
27	0.8079	0.7875	0.7684	0.7506	0.7253	116
28	0.8125	0.7933	0.7770	0.7666	0.7316	125
29	0.8157	0.7983	0.7634	0.7406	0.7280	101
30	0.8163	0.7985	0.7617	0.7558	0.7336	98
31	0.8172	0.7995	0.7844	0.7670	0.7512	100
32	0.8202	0.8030	0.7776	0.7679	0.7308	90
33	0.8267	0.8010	0.7874	0.7744	0.7445	76
34	0.8247	0.7981	0.7807	0.7761	0.7558	83
35	0.8264	0.8080	0.7840	0.7622	0.7393	61
36	0.8298	0.8134	0.7893	0.7732	0.7535	94
37	0.8212	0.7978	0.7837	0.7709	0.7389	53
38	0.8307	0.8128	0.7887	0.7646	0.7528	65
39	0.8298	0.8106	0.7875	0.7759	0.7558	76
40	0.8320	0.8120	0.7944	0.7804	0.7408	56
41	0.8351	0.8231	0.8069	0.7755	0.7579	53
42	0.8367	0.8255	0.7944	0.7683	0.7633	56
43	0.8331	0.8163	0.7966	0.7826	0.7513	65
