ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5699	0.5335	0.4997	0.4789	0.4360	24602
3	0.6099	0.5785	0.5491	0.5305	0.4934	8665
4	0.6513	0.6216	0.5932	0.5765	0.5453	5996
5	0.6703	0.6431	0.6180	0.6023	0.5627	3435
6	0.6905	0.6630	0.6382	0.6235	0.5875	2499
7	0.7037	0.6784	0.6547	0.6401	0.6035	1845
8	0.7188	0.6931	0.6713	0.6559	0.6290	1388
9	0.7286	0.7020	0.6789	0.6632	0.6340	1085
10	0.7380	0.7164	0.6909	0.6767	0.6394	873
11	0.7472	0.7231	0.7043	0.6898	0.6511	766
12	0.7532	0.7303	0.7091	0.6943	0.6658	629
13	0.7590	0.7358	0.7121	0.6966	0.6695	554
14	0.7649	0.7440	0.7159	0.7003	0.6708	425
15	0.7698	0.7484	0.7308	0.7152	0.6787	438
16	0.7754	0.7533	0.7315	0.7217	0.6977	362
17	0.7796	0.7613	0.7362	0.7181	0.6932	303
18	0.7853	0.7663	0.7452	0.7332	0.7081	300
19	0.7908	0.7689	0.7493	0.7385	0.7123	241
20	0.7890	0.7669	0.7449	0.7326	0.7039	246
21	0.7950	0.7750	0.7531	0.7383	0.7203	228
22	0.7981	0.7821	0.7604	0.7433	0.7287	172
23	0.8057	0.7859	0.7670	0.7414	0.7063	155
24	0.8038	0.7866	0.7575	0.7482	0.7313	157
25	0.8039	0.7852	0.7660	0.7578	0.7119	142
26	0.8094	0.7927	0.7706	0.7533	0.7243	123
27	0.8106	0.7936	0.7764	0.7663	0.7333	130
28	0.8156	0.7972	0.7791	0.7630	0.7306	123
29	0.8176	0.7987	0.7834	0.7758	0.7591	123
30	0.8213	0.8009	0.7833	0.7673	0.7436	95
31	0.8221	0.8008	0.7843	0.7703	0.7444	109
32	0.8211	0.8060	0.7893	0.7669	0.7304	74
33	0.8231	0.8040	0.7833	0.7683	0.7300	87
34	0.8261	0.8067	0.7860	0.7738	0.7526	90
35	0.8244	0.8077	0.7786	0.7727	0.7683	69
36	0.8229	0.8053	0.7865	0.7821	0.7443	78
37	0.8301	0.8095	0.7847	0.7801	0.7645	82
38	0.8347	0.8178	0.8059	0.7876	0.7759	58
39	0.8319	0.8158	0.7979	0.7872	0.7585	57
40	0.8337	0.8179	0.8003	0.7926	0.7766	68
41	0.8327	0.8142	0.8004	0.7926	0.7591	56
42	0.8423	0.8287	0.8162	0.8050	0.7640	52
43	0.8400	0.8258	0.8052	0.7939	0.7672	50
44	0.8484	0.8331	0.8099	0.7925	0.7826	67
