ClustSize	Mean	CI75	CI90	CI95	CI99	NumObs
2	0.5541	0.5179	0.4850	0.4653	0.4259	25080
3	0.5928	0.5624	0.5315	0.5133	0.4792	8510
4	0.6352	0.6058	0.5772	0.5585	0.5235	6096
5	0.6529	0.6259	0.5982	0.5820	0.5492	3519
6	0.6737	0.6465	0.6203	0.6033	0.5659	2519
7	0.6871	0.6590	0.6349	0.6218	0.5864	1789
8	0.7041	0.6780	0.6520	0.6346	0.5958	1462
9	0.7111	0.6875	0.6599	0.6405	0.6056	1106
10	0.7217	0.6954	0.6691	0.6567	0.6227	897
11	0.7290	0.7039	0.6779	0.6611	0.6315	713
12	0.7355	0.7114	0.6878	0.6745	0.6378	665
13	0.7429	0.7216	0.6968	0.6772	0.6426	514
14	0.7454	0.7208	0.6952	0.6823	0.6465	454
15	0.7566	0.7310	0.7088	0.6980	0.6586	400
16	0.7601	0.7380	0.7102	0.6929	0.6635	377
17	0.7630	0.7412	0.7136	0.6995	0.6710	313
18	0.7691	0.7462	0.7269	0.7085	0.6748	295
19	0.7719	0.7459	0.7207	0.7092	0.6715	263
20	0.7740	0.7551	0.7218	0.7057	0.6692	226
21	0.7800	0.7614	0.7368	0.7222	0.7071	182
22	0.7809	0.7609	0.7382	0.7147	0.6802	203
23	0.7889	0.7683	0.7368	0.7257	0.6995	184
24	0.7873	0.7672	0.7401	0.7236	0.6902	179
25	0.7897	0.7683	0.7464	0.7372	0.7170	112
26	0.7927	0.7697	0.7485	0.7323	0.7003	139
27	0.7929	0.7707	0.7485	0.7304	0.6995	140
28	0.7998	0.7804	0.7580	0.7419	0.7257	112
29	0.7983	0.7803	0.7543	0.7396	0.7106	114
30	0.8036	0.7794	0.7570	0.7493	0.7284	112
31	0.8090	0.7864	0.7763	0.7608	0.7349	111
32	0.8067	0.7895	0.7628	0.7463	0.7217	81
33	0.8096	0.7912	0.7731	0.7500	0.7038	91
34	0.8045	0.7854	0.7570	0.7338	0.7225	78
35	0.8063	0.7817	0.7541	0.7500	0.7228	85
36	0.8128	0.7912	0.7638	0.7582	0.7240	69
37	0.8215	0.7998	0.7885	0.7665	0.7368	54
38	0.8158	0.7965	0.7721	0.7584	0.7194	62
39	0.8164	0.8012	0.7737	0.7607	0.7422	76
40	0.8243	0.8025	0.7871	0.7761	0.7688	68
41	0.8255	0.8169	0.7852	0.7784	0.7643	64
42	0.8193	0.7990	0.7787	0.7494	0.7308	57
