RF00300	snoZ221_snoR21b
RF00301	snoZ256
RF00302	SNORA65
RF00303	snoR86
RF00304	snoZ279_R105_R108
RF00305	snoZ248
RF00306	snoZ178
RF00307	snoR98
RF00309	snosnR60_Z15
RF00310	snoZ165
RF00311	snoZ188
RF00312	snoZ206
RF00313	snoZ173
RF00314	snoZ182
RF00315	snoJ33
RF00316	snoR43
RF00317	snoZ163
RF00318	snoZ175
RF00319	SNORA23
RF00320	snoZ185
RF00321	snoZ247
RF00322	SNORA31
RF00323	snoR79
RF00324	snoMBII-202
RF00325	SNORD53_SNORD92
RF00326	snoZ155
RF00327	snoZ194
RF00328	snoZ161_228
RF00329	snoZ162
RF00330	snoZ43
RF00331	snoZ169
RF00332	snoZ266
RF00333	snoZ157
RF00334	SNORA3
RF00335	snoZ13_snr52
RF00336	snoJ26
RF00337	snoZ112
RF00338	snoR53
RF00339	snoR60
RF00340	SNORA36
RF00341	snoZ39
RF00342	snoZ40
RF00343	snoZ122
RF00344	snoZ267
RF00345	snoR1
RF00348	snoR9_plant
RF00349	snoR11
RF00350	snoZ152
RF00351	snoR20
RF00352	snoR21
RF00353	snoR31_Z110_Z27
RF00355	snoR28
RF00356	snoR32_R81
RF00357	snoR44_J54
RF00358	snoZ101
RF00359	snoZ102_R77
RF00360	snoZ107_R87
RF00361	snoZ119
RF00362	Pospi_RY
RF00363	mir-BART1
RF00364	mir-BART2
RF00365	mir-BHRF1-1
RF00366	mir-BHRF1-2
RF00367	mir-BHRF1-3
RF00368	sroB
RF00369	sroC
RF00370	sroD
RF00371	sroE
RF00372	sroH
RF00373	RNaseP_arch
RF00374	Gammaretro_CES
RF00375	HIV_PBS
RF00376	HIV_GSL3
RF00377	snoU6-53
RF00378	Qrr
RF00379	ydaO-yuaA
RF00380	ykoK
RF00381	Antizyme_FSE
RF00382	DnaX
RF00383	IS1222_FSE
RF00384	Pox_AX_element
RF00385	IBV_D-RNA
RF00386	Entero_5_CRE
RF00387	IRES_FGF1
RF00388	Anti-Q_RNA
RF00389	satBaMV_CRE
RF00390	UPSK
RF00391	RtT
RF00392	SNORA5
RF00393	SNORA8
RF00394	SNORA4
RF00396	SNORA13
RF00397	SNORA14
RF00398	SNORA15
RF00399	SNORA24
RF00400	SNORA28
RF00401	SNORA20
RF00402	SNORA25
RF00403	SNORA41
RF00404	SNORA46
RF00405	SNORA44
RF00406	SNORA42
RF00407	SNORA50
RF00408	SNORA1
RF00409	SNORA7
RF00410	SNORA2
RF00411	SNORA9
RF00412	SNORA21
RF00413	SNORA19
RF00414	SNORA22
RF00415	SNORA30
RF00416	SNORA43
RF00417	SNORA56
RF00418	SNORA58
RF00419	SNORA52
RF00420	SNORA61
RF00421	SNORA32
RF00422	SCARNA24
RF00423	SCARNA4
RF00424	SCARNA16
RF00425	SNORA18
RF00426	SCARNA15
RF00427	SCARNA23
RF00428	SNORA38
RF00429	SNORA29
RF00430	SNORA54
RF00431	SNORA55
RF00432	SNORA51
RF00433	Hsp90_CRE
RF00434	BTE
RF00435	ROSE
RF00436	UnaL2
RF00437	HLE
RF00438	SNORA33
RF00439	SNORD87
RF00440	SNORD37
RF00441	snoZ242
RF00442	ykkC-yxkD
RF00443	SNORA27
RF00444	PrrF
RF00445	mir-399
RF00446	mir-133
RF00447	IRES_Kv1_4
RF00448	IRES_EBNA
RF00449	IRES_HIF1
RF00451	mir-395
RF00452	mir-172
RF00453	Cardiovirus_CRE
RF00454	p27_CRE
RF00455	mir-15
RF00456	mir-34
RF00457	IRES_mnt
RF00458	IRES_Cripavirus
RF00459	MPMV_package
RF00460	U1A_PIE
RF00461	IRES_VEGF_A
RF00462	IRES_APC
RF00463	ApoB_5_CRE
RF00464	mir-92
RF00465	JEV_hairpin
RF00467	RSV_PBS
RF00468	HCV_SLVII
RF00469	HCV_SLIV
RF00470	Toga_5_CRE
RF00471	snosnR48
RF00472	snosnR55
RF00473	snosnR54
RF00474	snosnR57
RF00475	snosnR69
RF00476	snosnR61
RF00477	snosnR66
RF00478	SCARNA6
RF00479	snosnR71
RF00480	HIV_FE
RF00481	HCV_X3
RF00482	snoF1_F2
RF00483	IRES_IGF2
RF00484	IRES_Cx32
RF00485	K_chan_RES
RF00486	mir-129
RF00487	IRES_Cx43
RF00488	U1_yeast
RF00489	ctRNA_p42d
RF00490	S-element
RF00491	SVLPA
RF00492	SCARNA17
RF00493	snoU2-30
RF00494	snoU2_19
RF00495	IRES_Hsp70
RF00496	Corona_SL-III
RF00498	EAV_LTH
RF00499	Parecho_CRE
RF00500	TCV_H5
RF00501	Rota_CRE
RF00502	TCV_Pr
RF00503	RNAIII
RF00504	Glycine
RF00505	RydC
RF00506	Thr_leader
RF00507	Corona_FSE
RF00509	snosnR64
RF00510	Tombus_IRE
RF00511	IRES_KSHV
RF00512	Leu_leader
RF00513	Trp_leader
RF00514	His_leader
RF00515	PyrR
RF00516	ylbH
RF00517	serC
RF00518	speF
RF00519	suhB
RF00520	ybhL
RF00521	SAM_alpha
RF00522	PreQ1
RF00523	Prion_pknot
RF00524	R2_retro_el
RF00525	Flavivirus_DB
RF00526	snoMe28S-U3344
RF00527	snoMe28S-G3255
RF00528	snoMe28S-Gm1083
RF00529	snoMe28S-Am2589
RF00530	snoMe28S-Cm2645
RF00531	snoMe28S-Gm3113
RF00532	snoMe18S-Um1356
RF00533	snoMe18S-Gm1358
RF00534	SgrS
RF00535	snoMe28S-Am982
RF00536	snoMe28S-Cm3227
RF00537	snoMe28S-Am2634
RF00538	snoCD11
RF00539	snoMe28S-Cm788
RF00540	snopsi18S-1854
RF00541	snopsi28S-2876
RF00542	snopsi28S-1192
RF00543	snopsi18S-1377
RF00544	snopsi28S-3327
RF00545	snopsi18S-841
RF00546	snopsi28S-3316
RF00547	IRES_TrkB
RF00548	U11
RF00549	IRES_c-sis
RF00550	HepE_CRE
RF00551	bicoid_3
RF00552	rncO
RF00553	SCARNA1
RF00554	SNORA48
RF00555	L13_leader
RF00556	L19_leader
RF00557	L10_leader
RF00558	L20_leader
RF00559	L21_leader
RF00560	SNORA17
RF00561	SNORA40
RF00562	SNORA49
RF00563	SNORA53
RF00564	SCARNA11
RF00565	SCARNA3
RF00566	SNORA35
RF00567	SNORD17
RF00568	SNORA26
RF00569	SNORD19
RF00570	SNORD64
RF00571	SNORD65
RF00572	SNORD66
RF00573	SNORD67
RF00574	SNORD69
RF00575	SNORD70
RF00576	SNORD71
RF00577	SNORD72
RF00578	SNORD89
RF00579	SNORD90
RF00580	SNORD91
RF00581	SNORD12
RF00582	SCARNA14
RF00584	SNORD105
RF00586	SNORA12
RF00588	SNORD41
RF00591	SNORD77
RF00592	SNORD78
RF00593	snoU83B
RF00594	SNORD86
RF00598	SNORA76
RF00599	SNORA77
RF00600	SNORA79
RF00601	SCARNA20
RF00602	SCARNA21
RF00603	SNORD23
RF00604	SNORD88
RF00606	SNORD93
RF00607	SNORD98
RF00608	SNORD99
RF00609	SNORD100
RF00610	SNORD110
RF00611	SNORD111
RF00612	SNORD75
RF00613	SNORD94
RF00614	SNORA11
RF00615	LhrA
RF00616	LhrC
RF00617	cHP
RF00618	U4atac
RF00619	U6atac
RF00620	HCV_ARF_SL
RF00621	CoTC_ribozyme
RF00622	CPEB3_ribozyme
RF00623	P1
RF00624	P9
RF00625	P11
RF00626	Gurken
RF00627	P15
RF00628	P16
RF00629	P24
RF00630	P26
RF00632	sxy
RF00634	SAM-IV
RF00635	HAR1F
RF00636	NRON
RF00637	mir-276
RF00638	MIR159
RF00639	mir-515
RF00640	MIR167_1
RF00641	mir-154
RF00642	mir-23
RF00643	MIR171_1
RF00644	mir-27
RF00645	MIR169_2
RF00646	mir-204
RF00647	MIR164
RF00648	MIR396
RF00649	mir-128
RF00650	mir-153
RF00651	mir-221
RF00652	MIR478
RF00653	mir-22
RF00654	mir-216
RF00655	mir-28
RF00656	mir-205
RF00657	mir-184
RF00658	mir-21
RF00659	mir-365
RF00660	mir-214
RF00661	mir-31
RF00662	mir-132
RF00663	mir-183
RF00664	mir-223
RF00665	mir-290
RF00666	mir-32
RF00667	mir-33
RF00668	mir-302
RF00669	mir-96
RF00670	mir-105
RF00671	mir-138
RF00672	mir-190
RF00673	mir-217
RF00674	mir-187
RF00675	mir-145
RF00676	mir-127
RF00677	MIR168
RF00678	mir-140
RF00679	mir-210
RF00680	mir-224
RF00681	mir-198
RF00682	mir-144
RF00683	mir-143
RF00684	mir-122
RF00685	mir-36
RF00686	mir-338
RF00687	mir-136
RF00688	MIR394
RF00689	MIR390
RF00690	MIR408
RF00691	mir-146
RF00692	MIR171_2
RF00693	mir-147
RF00694	mir-137
RF00695	MIR398
RF00696	mir-203
RF00697	mir-186
RF00698	mir-489
RF00699	mir-134
RF00700	mir-375
RF00701	mir-126
RF00702	mir-182
RF00703	mir-139
RF00704	MIR397
RF00705	mir-202
RF00706	mir-263
RF00707	mir-197
RF00708	mir-450
RF00709	mir-455
RF00710	mir-44
RF00711	mir-449
RF00712	mir-460
RF00713	mir-239
RF00714	MIR535
RF00715	mir-383
RF00716	mir-3
RF00717	mir-315
RF00718	mir-431
RF00719	mir-326
RF00720	mir-317
RF00721	MIR475
RF00722	mir-451
RF00723	mir-448
RF00724	mir-282
RF00725	mir-iab-4
RF00726	mir-87
RF00727	bantam
RF00728	mir-81
RF00729	mir-278
RF00730	mir-277
RF00731	mir-155
RF00732	mir-305
RF00733	mir-296
RF00734	mir-52
RF00735	mir-367
RF00736	mir-320
RF00737	mir-322
RF00739	MIR476
RF00740	mir-370
RF00741	mir-378
RF00742	MIR162_2
RF00743	mir-308
RF00744	mir-361
RF00745	mir-499
RF00746	mir-454
RF00747	mir-283
RF00748	mir-433
RF00749	mir-208
RF00750	mir-458
RF00751	mir-12
RF00752	mir-14
RF00753	mir-503
RF00754	mir-279
RF00755	mir-542
RF00756	mir-299
RF00757	mir-275
RF00758	mir-346
RF00760	mir-342
RF00761	mir-340
RF00762	mir-412
RF00763	mir-339
RF00764	mir-191
RF00765	mir-337
RF00766	mir-335
RF00767	mir-150
RF00768	MIR405
RF00769	mir-331
RF00770	mir-330
RF00771	mir-185
RF00772	mir-328
RF00773	mir-298
RF00774	mir-360
RF00775	mir-432
RF00776	mir-540
RF00777	mir-541
RF00778	MIR473
RF00779	MIR474
RF00780	MIR477
RF00781	mir-505
RF00782	MIR480
RF00783	mir-484
RF00784	mir-486
RF00785	mir-90
RF00786	mir-289
RF00787	mir-288
RF00788	mir-287
RF00789	mir-286
RF00790	mir-358
RF00791	mir-357
RF00792	mir-490
RF00793	mir-497
RF00794	mir-42
RF00795	mir-43
RF00796	mir-48
RF00797	mir-355
RF00798	mir-49
RF00799	mir-354
RF00800	mir-353
RF00801	mir-280
RF00802	mir-207
RF00803	mir-425
RF00804	mir-240
RF00805	mir-351
RF00806	mir-350
RF00807	mir-314
RF00808	mir-86
RF00809	mir-241
RF00810	mir-85
RF00811	mir-84
RF00812	mir-83
RF00813	mir-11
RF00814	mir-316
RF00815	mir-244
RF00816	mir-245
RF00817	mir-80
RF00818	mir-318
RF00819	mir-246
RF00820	mir-248
RF00821	mir-249
RF00822	mir-274
RF00823	lsy-6
RF00824	mir-50
RF00825	mir-344
RF00826	mir-55
RF00827	mir-77
RF00828	mir-75
RF00829	mir-149
RF00830	mir-74
RF00831	mir-73
RF00832	mir-71
RF00833	mir-70
RF00834	mir-268
RF00835	mir-58
RF00836	mir-250
RF00837	mir-251
RF00838	mir-252
RF00839	mir-452
RF00840	mir-374
RF00841	mir-384
RF00842	MIR403
RF00843	mir-228
RF00844	mir-67
RF00845	MIR158
RF00846	mir-64
RF00847	mir-62
RF00848	mir-61
RF00849	mir-60
RF00850	mir-259
RF00851	mir-230
RF00852	mir-231
RF00853	mir-304
RF00854	mir-5
RF00855	mir-254
RF00856	mir-232
RF00857	mir-233
RF00858	mir-306
RF00859	mir-234
RF00861	mir-488
RF00862	mir-491
RF00863	mir-BART17
RF00864	mir-BART20
RF00865	MIR169_5
RF00866	mir-BART3
RF00867	mir-BART5
RF00868	mir-BART15
RF00869	mir-BART7
RF00870	mir-423
RF00871	mir-689
RF00872	mir-652
RF00873	mir-550
RF00874	mir-BART12
RF00875	mir-692
RF00876	mir-684
RF00877	mir-592
RF00878	mir-456
RF00879	mir-615
RF00882	MIR811
RF00883	MIR820
RF00884	MIR815
RF00885	MIR821
RF00886	MIR807
RF00887	mir-802
RF00888	mir-770
RF00890	mir-668
RF00891	mir-671
RF00892	mir-551
RF00893	MIR854
RF00894	mir-790
RF00895	mir-786
RF00896	mir-787
RF00897	mir-675
RF00898	mir-242
RF00899	mir-235
RF00900	mir-255
RF00901	MIR845_1
RF00902	mir-791
RF00903	mir-359
RF00904	mir-392
RF00905	mir-789
RF00906	MIR1122
RF00907	mir-941
RF00908	MIR529
RF00909	mir-883
RF00910	mir-873
RF00911	mir-672
RF00912	mir-877
RF00914	mir-674
RF00915	mir-760
RF00917	mir-708
RF00918	mir-872
RF00919	mir-874
RF00920	MIR444
RF00921	mir-665
RF00922	mir-673
RF00925	MIR1027
RF00926	MIR1151
RF00927	mir-582
RF00928	mir-590
RF00929	mir-574
RF00931	mir-879
RF00932	mir-471
RF00933	mir-875
RF00934	mir-463
RF00935	mir-876
RF00936	mir-744
RF00937	mir-653
RF00939	mir-504
RF00940	mir-327
RF00941	mir-434
RF00942	mir-1224
RF00943	MIR824
RF00945	mir-1226
RF00946	mir-1225
RF00947	mir-929
RF00948	mir-996
RF00949	mir-983
RF00950	mir-927
RF00951	mir-1302
RF00952	mir-650
RF00953	mir-1497
RF00954	MIR1446
RF00955	mir-1829
RF00956	MIR1444
RF00957	mir-663
RF00958	mir-498
RF00959	mir-612
RF00960	mir-661
RF00961	mir-581
RF00962	mir-586
RF00963	mir-642
RF00964	mir-938
RF00965	mir-549
RF00966	mir-676
RF00967	mir-281
RF00968	mir-626
RF00969	mir-556
RF00970	mir-648
RF00971	mir-578
RF00972	mir-651
RF00973	mir-597
RF00974	mir-607
RF00975	MIR845_2
RF00976	mir-583
RF00977	mir-600
RF00978	mir-638
RF00979	mir-553
RF00980	mir-643
RF00981	mir-939
RF00982	mir-200
RF00983	mir-662
RF00984	mir-576
RF00985	mir-640
RF00986	mir-920
RF00987	mir-589
RF00988	mir-657
RF00989	mir-492
RF00990	mir-552
RF00991	mir-599
RF00992	mir-593
RF00993	mir-1473
RF00994	mir-1255
RF00995	mir-616
RF00996	mir-631
RF00997	mir-942
RF00998	mir-562
RF00999	mir-924
RF01000	mir-580
RF01001	mir-609
RF01002	mir-936
RF01003	mir-563
RF01004	mir-557
RF01005	MIR530
RF01006	mir-601
RF01007	mir-624
RF01008	mir-636
RF01009	mir-M7
RF01010	mir-632
RF01011	mir-605
RF01012	mir-628
RF01013	mir-577
RF01014	mir-1306
RF01015	mir-885
RF01016	mir-584
RF01017	mir-625
RF01018	mir-569
RF01019	mir-922
RF01020	mir-572
RF01021	mir-558
RF01022	mir-611
RF01023	mir-940
RF01024	mir-944
RF01025	mir-934
RF01026	MIR828
RF01027	mir-765
RF01028	mir-633
RF01029	mir-649
RF01030	mir-422
RF01031	mir-639
RF01032	mir-554
RF01033	mir-767
RF01034	mir-618
RF01035	mir-887
RF01036	mir-567
RF01037	mir-644
RF01038	mir-1307
RF01039	mir-937
RF01040	mir-573
RF01041	mir-604
RF01042	mir-891
RF01043	MIR1023
RF01044	mir-345
RF01045	mir-544
RF01046	WLE3
RF01047	HBV
RF01050	Sacc_telomerase
RF01051	GEMM_RNA_motif
RF01052	Arthropod_7SK
RF01053	Deinococcus_Y_RNA
RF01054	preQ1-II
RF01055	MOCO_RNA_motif
RF01056	Mg_sensor
RF01057	SAH_riboswitch
RF01058	MIR806
RF01059	mir-598
RF01061	mir-548
RF01062	MIR812
RF01063	mir-324
RF01064	mir-253
RF01065	23S-methyl
RF01066	6C
RF01067	ATPC
RF01068	mini-ykkC
RF01069	purD
RF01070	sucA
RF01071	OLE
RF01072	TMV_UPD-PK3
RF01073	GP_knot1
RF01074	RF_site1
RF01075	TLS-PK1
RF01076	RF_site2
RF01077	TLS-PK2
RF01078	PK-PYVV
RF01079	RF_site3
RF01080	UPD-PKib
RF01081	SBWMV1_UPD-PKe
RF01082	SBWMV1_UPD-PKh
RF01083	UPD-PK2
RF01084	TLS-PK3
RF01085	TLS-PK4
RF01086	LR-PK1
RF01087	PK-repZ
RF01088	TLS-PK5
RF01089	PK-repBA
RF01090	RF_site4
RF01091	PK-SPCSV
RF01092	GP_knot2
RF01093	RF_site5
RF01094	RF_site6
RF01095	PK-CuYV_BPYV
RF01096	PK-HAV
RF01097	RF_site8
RF01098	RF_site9
RF01099	PK-IAV
RF01100	PK-BYV
RF01101	TLS-PK6
RF01102	PK1-TEV_CVMV
RF01103	UPD-PKc
RF01104	SBWMV2_UPD-PKb
RF01105	SBWMV2_UPD-PKl
RF01106	SBWMV1_UPD-PKb
RF01107	SBRMV1_UPD-PKf
RF01108	BMV3_UPD-PK1
RF01109	SBRMV1_UPD-PKd
RF01110	PSLVbeta_UPD-PK2
RF01111	SBWMV2_UPD-PKk
RF01112	UPD-PKg
RF01113	BMV3_UPD-PK3
RF01114	TMV_UPD-PK1
RF01115	TMV_UPD-PK2
RF01116	Yfr1
RF01117	ciona-mir-92
RF01118	PK-G12rRNA
RF01119	sR32
RF01120	sR33
RF01121	sR38
RF01122	sR39
RF01123	sR35
RF01124	sR36
RF01125	sR4
RF01126	sR41
RF01127	sR42
RF01128	sR43
RF01129	sR44
RF01130	sR46
RF01131	sR47
RF01132	sR48
RF01133	sR3
RF01134	sR30
RF01135	sR24
RF01136	sR28
RF01137	sR21
RF01138	sR23
RF01139	sR2
RF01140	sR20
RF01141	sR18
RF01142	sR19
