ID	Mean	SD
PC1291	0.000	0.568
PC1290	-0.000	0.568
PC1297	-0.000	0.566
PC1296	-0.000	0.566
PC1295	0.000	0.567
PC1294	-0.000	0.567
PC1299	0.000	0.566
PC1298	0.000	0.566
PC1617	0.000	0.479
PC1616	0.000	0.479
PC129	-0.000	0.994
PC128	-0.000	0.994
PC1613	-0.000	0.480
PC1612	0.000	0.480
PC1611	-0.000	0.481
PC1610	0.000	0.481
PC123	0.000	1.004
PC122	0.000	1.004
PC121	-0.000	1.005
PC120	0.000	1.006
PC127	-0.000	0.997
PC126	0.000	0.997
PC125	-0.000	0.999
PC124	-0.000	1.001
PC1479	0.000	0.518
PC1478	0.000	0.518
PC1477	0.000	0.518
PC1476	0.000	0.519
PC1475	-0.000	0.519
PC1474	0.000	0.519
PC1473	0.000	0.520
PC1472	-0.000	0.520
PC1471	0.000	0.520
PC1470	-0.000	0.520
PC1189	0.000	0.594
PC1188	0.000	0.594
PC1187	0.000	0.594
PC1186	0.000	0.594
PC1185	-0.000	0.595
PC1184	0.000	0.595
PC1183	0.000	0.595
PC1182	0.000	0.595
PC1181	-0.000	0.596
PC1180	-0.000	0.596
PC1051	0.000	0.629
PC1050	0.000	0.630
PC1053	0.000	0.629
PC1052	-0.000	0.629
PC1055	0.000	0.628
PC1054	0.000	0.628
PC1057	0.000	0.628
PC1056	-0.000	0.628
PC1059	0.000	0.627
PC1058	-0.000	0.627
PC1509	0.000	0.510
PC1508	0.000	0.510
PC949	0.000	0.655
PC948	-0.000	0.656
PC18	0.000	1.751
PC19	-0.000	1.737
PC14	0.000	1.948
PC15	0.000	1.930
PC943	-0.000	0.657
PC942	-0.000	0.658
PC10	0.000	2.518
PC944	0.000	0.657
PC12	0.000	2.132
PC13	0.000	2.050
PC1873	-0.000	0.384
PC1872	0.000	0.384
PC1871	-0.000	0.385
PC1870	0.000	0.385
PC1877	0.000	0.382
PC1876	-0.000	0.382
PC1875	-0.000	0.383
PC1874	0.000	0.383
PC1879	-0.000	0.381
PC1878	0.000	0.381
PC611	-0.000	0.751
PC610	0.000	0.752
PC613	0.000	0.751
PC612	-0.000	0.751
PC615	-0.000	0.750
PC614	-0.000	0.750
PC617	0.000	0.749
PC616	-0.000	0.750
PC619	0.000	0.749
PC618	0.000	0.749
PC729	-0.000	0.716
PC728	-0.000	0.716
PC725	0.000	0.717
PC724	0.000	0.718
PC727	-0.000	0.716
