ID	Mean	SD
PC342	0.000	0.849
PC341	-0.000	0.850
PC340	0.000	0.850
PC347	-0.000	0.847
PC346	0.000	0.847
PC345	0.000	0.848
PC344	-0.000	0.848
PC1129	-0.000	0.609
PC1128	0.000	0.610
PC1699	-0.000	0.453
PC1698	-0.000	0.453
PC1697	-0.000	0.454
PC1696	0.000	0.454
PC1695	0.000	0.454
PC1694	0.000	0.454
PC1121	-0.000	0.611
PC1692	0.000	0.455
PC1123	-0.000	0.611
PC1122	0.000	0.611
PC1690	-0.000	0.456
PC1231	0.000	0.583
PC1230	-0.000	0.583
PC1233	0.000	0.583
PC1232	0.000	0.583
PC1235	-0.000	0.582
PC1234	0.000	0.582
PC1237	-0.000	0.582
PC1236	-0.000	0.582
PC1239	0.000	0.581
PC1238	-0.000	0.581
PC1349	-0.000	0.553
PC1348	-0.000	0.553
PC1341	0.000	0.555
PC1340	0.000	0.555
PC1343	0.000	0.554
PC1342	-0.000	0.555
PC1345	-0.000	0.554
PC1344	0.000	0.554
PC1347	-0.000	0.553
PC1346	-0.000	0.554
PC185	0.000	0.936
PC184	0.000	0.937
PC187	0.000	0.935
PC186	0.000	0.936
PC181	-0.000	0.941
PC180	-0.000	0.942
PC835	0.000	0.687
PC834	0.000	0.687
PC837	0.000	0.686
PC836	-0.000	0.686
PC831	0.000	0.687
PC1435	0.000	0.530
PC833	0.000	0.687
PC832	0.000	0.687
PC182	0.000	0.939
PC839	-0.000	0.685
PC838	-0.000	0.686
PC1020	-0.000	0.637
PC78	-0.000	1.103
PC79	-0.000	1.102
PC76	0.000	1.111
PC77	-0.000	1.105
PC74	0.000	1.119
PC75	0.000	1.113
PC72	0.000	1.123
PC73	-0.000	1.119
PC70	-0.000	1.133
PC71	-0.000	1.130
PC94	-0.000	1.059
PC95	-0.000	1.057
PC96	-0.000	1.054
PC97	-0.000	1.050
PC90	0.000	1.068
PC91	-0.000	1.064
PC92	0.000	1.063
PC93	0.000	1.060
PC98	0.000	1.047
PC99	-0.000	1.044
PC1909	0.000	0.361
PC1908	0.000	0.363
PC1907	0.000	0.363
PC1906	-0.000	0.364
PC1905	0.000	0.364
PC1904	0.000	0.365
PC1903	-0.000	0.366
PC1902	0.000	0.367
PC1901	0.000	0.367
PC1900	0.000	0.368
PC1023	0.000	0.637
PC749	-0.000	0.711
PC748	-0.000	0.711
PC747	-0.000	0.711
PC746	0.000	0.711
PC745	0.000	0.712
PC744	-0.000	0.712
PC743	-0.000	0.712
PC742	0.000	0.712
PC741	0.000	0.713
PC740	0.000	0.713
PC1024	-0.000	0.636
PC1025	-0.000	0.636
PC699	-0.000	0.725
PC698	0.000	0.725
PC691	-0.000	0.727
PC690	-0.000	0.727
PC693	0.000	0.726
PC692	-0.000	0.726
PC695	0.000	0.726
PC694	0.000	0.726
PC697	-0.000	0.725
PC696	0.000	0.726
PC1270	-0.000	0.573
PC527	-0.000	0.779
PC526	0.000	0.779
PC525	0.000	0.779
PC524	-0.000	0.780
PC523	0.000	0.780
PC522	0.000	0.780
PC521	-0.000	0.781
PC520	-0.000	0.781
PC529	-0.000	0.778
PC528	0.000	0.778
PC1021	-0.000	0.637
PC233	0.000	0.904
PC232	-0.000	0.905
PC231	0.000	0.905
PC230	-0.000	0.906
PC237	-0.000	0.903
PC236	-0.000	0.903
PC235	0.000	0.904
PC234	0.000	0.904
PC239	0.000	0.901
PC238	-0.000	0.902
PC989	-0.000	0.645
PC988	0.000	0.646
PC1671	-0.000	0.462
PC1670	-0.000	0.462
PC1673	0.000	0.462
PC354	-0.000	0.844
PC58	0.000	1.199
PC356	0.000	0.843
PC357	0.000	0.842
PC350	-0.000	0.846
PC351	-0.000	0.845
PC352	-0.000	0.845
PC59	0.000	1.192
PC1675	-0.000	0.461
PC358	-0.000	0.842
PC359	-0.000	0.842
PC1674	-0.000	0.461
PC1677	0.000	0.460
PC1676	-0.000	0.460
PC1118	-0.000	0.612
PC1119	-0.000	0.612
PC1110	0.000	0.614
PC1111	-0.000	0.614
PC1112	0.000	0.614
PC1113	0.000	0.613
PC1114	-0.000	0.613
PC1115	0.000	0.613
PC1116	0.000	0.612
PC1117	-0.000	0.612
PC1598	0.000	0.484
PC1599	0.000	0.484
PC1594	0.000	0.485
PC1595	-0.000	0.485
PC1596	-0.000	0.485
PC1597	-0.000	0.484
PC1590	0.000	0.487
PC1591	0.000	0.486
PC1592	0.000	0.486
PC1593	0.000	0.485
PC1208	0.000	0.589
PC1209	0.000	0.588
PC1758	0.000	0.432
PC1759	0.000	0.432
PC1204	-0.000	0.590
PC1205	0.000	0.590
PC1206	0.000	0.589
PC1207	0.000	0.589
PC1200	0.000	0.591
PC1201	0.000	0.591
PC1202	0.000	0.590
PC1203	0.000	0.590
PC1576	-0.000	0.491
PC1577	0.000	0.490
PC1574	0.000	0.491
PC1575	-0.000	0.491
PC1572	0.000	0.492
PC1573	-0.000	0.491
PC1570	-0.000	0.492
PC1571	0.000	0.492
PC1578	0.000	0.490
PC1579	-0.000	0.490
PC826	0.000	0.689
PC827	0.000	0.689
PC824	0.000	0.689
PC825	-0.000	0.689
PC822	0.000	0.690
PC823	0.000	0.689
PC820	-0.000	0.690
PC821	0.000	0.690
PC828	0.000	0.689
PC829	-0.000	0.688
PC1008	-0.000	0.640
PC1009	-0.000	0.640
PC69	-0.000	1.140
PC68	-0.000	1.145
PC1376	0.000	0.545
PC1377	0.000	0.545
PC1370	-0.000	0.547
PC1371	0.000	0.547
PC1372	0.000	0.547
PC1373	0.000	0.547
PC61	0.000	1.181
PC60	0.000	1.190
PC63	-0.000	1.168
PC62	0.000	1.179
PC65	0.000	1.153
PC64	0.000	1.157
PC67	-0.000	1.148
PC66	-0.000	1.149
PC1015	0.000	0.638
PC1141	0.000	0.606
PC87	-0.000	1.077
PC86	-0.000	1.079
PC85	-0.000	1.082
PC84	-0.000	1.084
PC83	0.000	1.087
PC82	-0.000	1.093
PC81	0.000	1.094
PC80	0.000	1.099
PC89	0.000	1.071
PC88	0.000	1.074
PC1972	-0.000	0.255
PC1973	0.000	0.244
PC1970	-0.000	0.270
PC1971	-0.000	0.267
PC1014	0.000	0.639
PC758	0.000	0.708
PC759	0.000	0.707
PC750	0.000	0.710
PC751	0.000	0.710
PC752	0.000	0.709
PC753	-0.000	0.709
PC754	-0.000	0.709
PC755	-0.000	0.709
PC756	0.000	0.708
PC757	0.000	0.708
PC1806	-0.000	0.414
PC1807	0.000	0.414
PC1804	0.000	0.415
PC1805	0.000	0.415
PC1802	-0.000	0.415
PC1803	0.000	0.415
PC1243	-0.000	0.580
PC1801	-0.000	0.416
PC1808	0.000	0.414
PC1809	0.000	0.413
PC1244	0.000	0.580
PC1011	0.000	0.640
PC688	-0.000	0.728
PC689	-0.000	0.727
PC1010	-0.000	0.640
PC682	0.000	0.729
PC683	0.000	0.729
PC680	0.000	0.730
PC681	0.000	0.730
PC686	0.000	0.728
PC687	-0.000	0.728
PC684	-0.000	0.729
PC685	-0.000	0.728
PC1687	0.000	0.457
PC530	0.000	0.778
PC531	-0.000	0.777
PC532	0.000	0.776
PC533	-0.000	0.776
PC534	0.000	0.776
PC535	-0.000	0.776
PC536	-0.000	0.776
PC537	0.000	0.775
PC538	-0.000	0.775
PC539	-0.000	0.774
PC1213	-0.000	0.588
PC228	0.000	0.908
PC229	0.000	0.908
PC1212	0.000	0.588
PC224	0.000	0.911
PC225	-0.000	0.910
PC226	-0.000	0.909
PC227	-0.000	0.909
PC220	-0.000	0.913
PC221	0.000	0.913
PC222	-0.000	0.912
PC223	0.000	0.912
PC1307	0.000	0.564
PC321	0.000	0.858
PC320	0.000	0.859
PC323	-0.000	0.857
PC322	-0.000	0.858
PC325	-0.000	0.856
PC324	0.000	0.857
PC327	-0.000	0.856
PC326	-0.000	0.856
PC329	-0.000	0.855
PC328	-0.000	0.855
PC36	-0.000	1.386
PC37	0.000	1.373
PC1126	-0.000	0.610
PC1589	0.000	0.487
PC1588	-0.000	0.487
PC1583	0.000	0.488
PC1582	0.000	0.489
PC1581	-0.000	0.489
PC1580	0.000	0.489
PC1587	0.000	0.487
PC1586	0.000	0.488
PC1585	-0.000	0.488
PC1584	-0.000	0.488
PC1219	-0.000	0.586
PC1218	0.000	0.587
PC1749	-0.000	0.435
PC1748	-0.000	0.436
PC1745	0.000	0.436
PC1744	-0.000	0.437
PC1747	-0.000	0.436
PC1746	0.000	0.436
PC1741	-0.000	0.438
PC1740	0.000	0.439
PC1743	0.000	0.437
PC1742	-0.000	0.437
PC1565	0.000	0.494
PC1564	-0.000	0.494
PC1567	-0.000	0.493
PC1566	0.000	0.493
PC1561	-0.000	0.495
PC1560	0.000	0.495
PC1563	0.000	0.494
PC1562	-0.000	0.494
PC1569	0.000	0.493
PC1568	-0.000	0.493
PC1120	0.000	0.611
PC1107	-0.000	0.615
PC1106	-0.000	0.615
PC1105	-0.000	0.616
PC1104	0.000	0.616
PC1103	0.000	0.616
PC1102	0.000	0.616
PC1101	0.000	0.617
PC1100	-0.000	0.617
PC1109	-0.000	0.615
PC1108	-0.000	0.615
PC813	-0.000	0.692
PC812	0.000	0.693
PC811	0.000	0.693
PC810	-0.000	0.693
PC817	-0.000	0.691
PC816	0.000	0.692
PC815	-0.000	0.692
PC814	0.000	0.692
PC819	-0.000	0.691
PC818	0.000	0.691
PC355	-0.000	0.843
PC1363	0.000	0.549
PC1362	0.000	0.549
PC1361	0.000	0.550
PC1360	-0.000	0.550
PC1367	0.000	0.548
PC1366	0.000	0.548
PC1365	-0.000	0.549
PC1364	-0.000	0.549
PC1369	0.000	0.548
PC1368	0.000	0.548
PC353	-0.000	0.845
PC1969	-0.000	0.280
PC1968	0.000	0.294
PC1961	0.000	0.313
PC1960	0.000	0.314
PC1963	0.000	0.310
PC1962	0.000	0.312
PC1965	-0.000	0.307
PC1964	0.000	0.310
PC1967	0.000	0.297
PC1966	0.000	0.301
PC1006	0.000	0.641
PC1007	0.000	0.641
PC1815	-0.000	0.410
PC1814	-0.000	0.410
PC1817	0.000	0.410
PC1816	0.000	0.410
PC1811	-0.000	0.412
PC1810	-0.000	0.413
PC1813	0.000	0.411
PC1812	0.000	0.411
PC1819	-0.000	0.408
PC1818	0.000	0.409
PC783	0.000	0.700
PC782	0.000	0.701
PC781	-0.000	0.701
PC780	0.000	0.701
PC787	0.000	0.700
PC786	0.000	0.700
PC785	-0.000	0.700
PC784	-0.000	0.700
PC789	0.000	0.699
PC788	-0.000	0.699
PC259	-0.000	0.889
PC258	-0.000	0.890
PC251	-0.000	0.894
PC250	-0.000	0.895
PC253	0.000	0.893
PC252	0.000	0.893
PC255	-0.000	0.892
PC254	-0.000	0.892
PC257	-0.000	0.890
PC256	-0.000	0.891
PC1516	-0.000	0.508
PC332	-0.000	0.853
PC333	-0.000	0.853
PC330	0.000	0.855
PC331	-0.000	0.854
PC336	-0.000	0.852
PC337	0.000	0.851
PC334	0.000	0.852
PC335	-0.000	0.852
PC338	-0.000	0.851
PC339	-0.000	0.851
PC1778	-0.000	0.425
PC1779	0.000	0.425
PC1770	-0.000	0.428
PC1771	0.000	0.428
PC1772	0.000	0.427
PC1773	0.000	0.427
PC1774	0.000	0.426
PC1775	0.000	0.426
PC1776	0.000	0.426
PC1777	0.000	0.425
PC1550	0.000	0.498
PC1551	-0.000	0.498
PC1552	0.000	0.497
PC1553	0.000	0.497
PC1554	-0.000	0.497
PC1555	-0.000	0.496
PC1556	-0.000	0.496
PC1557	0.000	0.496
PC1558	-0.000	0.496
PC1559	0.000	0.495
PC1004	-0.000	0.641
PC1005	0.000	0.641
PC1002	0.000	0.642
PC1003	-0.000	0.642
PC1000	0.000	0.642
PC1001	0.000	0.642
PC1614	-0.000	0.479
PC1482	0.000	0.517
PC1483	-0.000	0.517
PC1480	0.000	0.517
PC1481	-0.000	0.517
PC1486	-0.000	0.516
PC1487	0.000	0.515
PC1484	-0.000	0.516
PC1485	-0.000	0.516
PC1488	-0.000	0.515
PC1489	0.000	0.515
PC1172	-0.000	0.598
PC1173	-0.000	0.598
PC1170	-0.000	0.598
PC1171	0.000	0.598
PC1176	-0.000	0.597
PC1177	0.000	0.597
PC1174	-0.000	0.597
PC1175	-0.000	0.597
PC1178	0.000	0.596
PC1179	-0.000	0.596
PC808	-0.000	0.694
PC809	0.000	0.694
PC804	-0.000	0.695
PC805	-0.000	0.695
PC806	0.000	0.694
PC807	-0.000	0.694
PC800	-0.000	0.696
PC801	0.000	0.696
PC802	-0.000	0.696
PC803	0.000	0.695
PC1619	-0.000	0.478
PC1618	-0.000	0.478
PC1398	0.000	0.540
PC1399	-0.000	0.540
PC1396	0.000	0.540
PC1397	0.000	0.540
PC1394	0.000	0.541
PC1395	-0.000	0.541
PC1392	-0.000	0.541
PC1393	-0.000	0.541
PC1390	0.000	0.542
PC1391	0.000	0.542
PC1954	-0.000	0.320
PC1955	-0.000	0.320
PC1956	-0.000	0.319
PC1957	-0.000	0.318
PC1950	-0.000	0.325
PC1951	0.000	0.324
PC1952	0.000	0.323
PC1953	-0.000	0.322
PC1958	0.000	0.317
PC1959	-0.000	0.315
PC463	0.000	0.801
PC1755	0.000	0.433
PC1752	0.000	0.434
PC1753	0.000	0.434
PC1750	0.000	0.435
PC1751	0.000	0.435
PC1820	-0.000	0.408
PC1821	-0.000	0.408
PC1822	0.000	0.408
PC1823	-0.000	0.407
PC1824	-0.000	0.406
PC1825	0.000	0.406
PC1826	-0.000	0.406
PC1827	-0.000	0.405
PC1828	0.000	0.405
PC1829	0.000	0.404
PC798	-0.000	0.697
PC799	0.000	0.696
PC794	0.000	0.697
PC795	0.000	0.697
PC796	0.000	0.697
PC797	0.000	0.697
PC790	-0.000	0.698
PC791	0.000	0.698
PC792	0.000	0.698
PC793	-0.000	0.698
PC248	0.000	0.896
PC249	-0.000	0.895
PC242	0.000	0.900
PC243	0.000	0.899
PC240	-0.000	0.900
PC241	0.000	0.900
PC246	0.000	0.897
PC247	-0.000	0.896
PC244	0.000	0.898
PC245	-0.000	0.897
PC309	-0.000	0.864
PC308	-0.000	0.865
PC307	-0.000	0.865
PC306	0.000	0.865
PC305	0.000	0.866
PC304	-0.000	0.867
PC303	0.000	0.867
PC302	-0.000	0.867
PC301	-0.000	0.868
PC300	0.000	0.869
PC1503	0.000	0.511
PC1502	-0.000	0.512
PC1501	-0.000	0.512
PC1500	0.000	0.512
PC1507	-0.000	0.510
PC1506	0.000	0.510
PC1505	0.000	0.511
PC1504	-0.000	0.511
PC1767	0.000	0.429
PC1766	-0.000	0.430
PC1765	-0.000	0.430
PC1764	0.000	0.430
PC1763	-0.000	0.431
PC1762	-0.000	0.431
PC1761	0.000	0.431
PC1760	0.000	0.431
PC1769	-0.000	0.429
PC1768	0.000	0.429
PC1019	-0.000	0.638
PC1018	0.000	0.638
PC1549	0.000	0.498
PC1548	-0.000	0.499
PC1547	-0.000	0.499
PC1546	0.000	0.499
PC1545	-0.000	0.499
PC1544	0.000	0.500
PC1543	-0.000	0.500
PC1542	0.000	0.500
PC1541	0.000	0.500
PC1540	0.000	0.501
PC1491	-0.000	0.515
PC1490	-0.000	0.515
PC1493	-0.000	0.514
PC1492	0.000	0.514
PC1495	0.000	0.513
PC1494	-0.000	0.514
PC1497	-0.000	0.513
PC1496	-0.000	0.513
PC1499	-0.000	0.512
PC1498	0.000	0.513
PC1161	-0.000	0.601
PC941	0.000	0.658
PC1163	0.000	0.600
PC1162	-0.000	0.601
PC1165	-0.000	0.600
PC1164	0.000	0.600
PC1167	0.000	0.599
PC940	0.000	0.658
PC1169	0.000	0.599
PC1168	0.000	0.599
PC16	0.000	1.875
PC879	0.000	0.674
PC878	0.000	0.675
PC17	0.000	1.789
PC871	0.000	0.677
PC945	-0.000	0.657
PC873	-0.000	0.676
PC872	0.000	0.676
PC875	0.000	0.676
PC874	-0.000	0.676
PC877	0.000	0.675
PC11	0.000	2.231
PC947	0.000	0.656
PC946	0.000	0.656
PC1389	-0.000	0.542
PC1388	0.000	0.542
PC1385	-0.000	0.543
PC1384	0.000	0.544
PC1387	-0.000	0.543
PC1386	0.000	0.543
PC1381	-0.000	0.544
PC1380	-0.000	0.544
PC1383	0.000	0.544
PC1382	-0.000	0.544
PC905	0.000	0.668
PC904	-0.000	0.668
PC907	0.000	0.667
PC906	0.000	0.667
PC901	-0.000	0.669
PC900	0.000	0.669
PC903	-0.000	0.668
PC902	0.000	0.668
PC909	0.000	0.667
PC908	-0.000	0.667
PC1943	0.000	0.331
PC1942	0.000	0.332
PC1941	-0.000	0.334
PC1940	0.000	0.334
PC1947	0.000	0.328
PC1946	0.000	0.329
PC1945	-0.000	0.330
PC1944	-0.000	0.330
PC1949	-0.000	0.326
PC1948	0.000	0.327
PC1142	-0.000	0.606
PC1839	0.000	0.400
PC1838	0.000	0.400
PC1837	0.000	0.400
PC1836	0.000	0.400
PC1835	0.000	0.401
PC1834	-0.000	0.402
PC1833	-0.000	0.402
PC1832	0.000	0.403
PC1831	-0.000	0.403
PC1830	-0.000	0.404
PC499	0.000	0.788
PC498	-0.000	0.788
PC497	0.000	0.788
PC496	-0.000	0.789
PC495	0.000	0.789
PC494	0.000	0.790
PC493	0.000	0.790
PC492	-0.000	0.791
PC491	0.000	0.791
PC490	0.000	0.791
PC659	0.000	0.736
PC658	0.000	0.737
PC655	-0.000	0.738
PC654	0.000	0.738
PC657	0.000	0.737
PC656	0.000	0.738
PC651	-0.000	0.739
PC650	-0.000	0.739
PC653	-0.000	0.739
PC652	0.000	0.739
PC1374	-0.000	0.546
PC1375	-0.000	0.546
PC1672	-0.000	0.462
PC1378	0.000	0.545
PC1379	0.000	0.545
PC1017	0.000	0.638
PC277	0.000	0.880
PC276	-0.000	0.881
PC275	-0.000	0.881
PC274	0.000	0.881
PC273	0.000	0.882
PC272	0.000	0.883
PC271	0.000	0.883
PC270	-0.000	0.884
PC279	0.000	0.879
PC278	0.000	0.880
PC475	0.000	0.797
PC474	0.000	0.797
PC477	-0.000	0.796
PC476	-0.000	0.797
PC471	0.000	0.798
PC470	-0.000	0.799
PC473	0.000	0.798
PC472	0.000	0.798
PC479	-0.000	0.796
PC478	-0.000	0.796
PC318	0.000	0.860
PC319	-0.000	0.859
PC310	-0.000	0.864
PC311	0.000	0.863
PC312	-0.000	0.863
PC313	-0.000	0.862
PC314	0.000	0.862
PC315	-0.000	0.861
PC316	0.000	0.861
PC317	-0.000	0.860
PC1712	0.000	0.448
PC1713	-0.000	0.448
PC1710	0.000	0.449
PC1711	-0.000	0.449
PC1716	0.000	0.447
PC1717	0.000	0.447
PC1714	-0.000	0.448
PC1715	0.000	0.448
PC1718	-0.000	0.447
PC1719	-0.000	0.446
PC1688	0.000	0.457
PC1689	-0.000	0.456
PC1028	-0.000	0.635
PC1029	-0.000	0.635
PC1538	-0.000	0.501
PC1539	0.000	0.501
PC1532	-0.000	0.503
PC1533	-0.000	0.503
PC1530	-0.000	0.504
PC1531	-0.000	0.503
PC1536	-0.000	0.502
PC1537	0.000	0.501
PC1534	0.000	0.503
PC1535	-0.000	0.502
PC1158	-0.000	0.602
PC1159	0.000	0.601
PC1628	-0.000	0.475
PC1629	-0.000	0.475
PC1626	0.000	0.476
PC1627	-0.000	0.476
PC1624	-0.000	0.476
PC1625	-0.000	0.476
PC1622	0.000	0.477
PC1623	0.000	0.476
PC1620	-0.000	0.478
PC1621	-0.000	0.477
PC1446	0.000	0.527
PC1447	0.000	0.526
PC1444	0.000	0.527
PC1445	-0.000	0.527
PC1442	-0.000	0.528
PC1443	0.000	0.527
PC1440	0.000	0.528
PC1441	-0.000	0.528
PC862	-0.000	0.679
PC863	0.000	0.679
PC860	0.000	0.680
PC861	0.000	0.679
PC866	-0.000	0.678
PC867	-0.000	0.678
PC1448	0.000	0.526
PC1449	0.000	0.526
PC916	0.000	0.665
PC917	-0.000	0.665
PC914	-0.000	0.666
PC915	0.000	0.665
PC912	-0.000	0.666
PC913	-0.000	0.666
PC910	0.000	0.666
PC911	0.000	0.666
PC918	0.000	0.664
PC919	0.000	0.664
PC1848	-0.000	0.395
PC1849	-0.000	0.395
PC1842	0.000	0.398
PC1843	0.000	0.398
PC1840	-0.000	0.399
PC1841	0.000	0.399
PC1846	0.000	0.396
PC1847	0.000	0.396
PC1844	-0.000	0.397
PC1845	-0.000	0.397
PC488	0.000	0.792
PC489	-0.000	0.792
PC480	-0.000	0.795
PC481	0.000	0.795
PC482	0.000	0.794
PC483	-0.000	0.794
PC484	-0.000	0.793
PC485	-0.000	0.793
PC486	-0.000	0.793
PC487	0.000	0.793
PC1143	0.000	0.606
PC648	-0.000	0.740
PC649	0.000	0.740
PC646	-0.000	0.740
PC647	-0.000	0.740
PC644	0.000	0.741
PC645	0.000	0.741
PC642	-0.000	0.742
PC643	-0.000	0.741
PC640	0.000	0.742
PC641	-0.000	0.742
PC1140	0.000	0.606
PC1147	-0.000	0.604
PC1146	0.000	0.605
PC1145	0.000	0.605
PC1144	0.000	0.605
PC260	0.000	0.888
PC261	0.000	0.888
PC262	0.000	0.887
PC263	0.000	0.887
PC264	-0.000	0.887
PC265	-0.000	0.886
PC266	0.000	0.885
PC267	-0.000	0.885
PC268	-0.000	0.884
PC269	-0.000	0.884
PC466	-0.000	0.800
PC467	-0.000	0.800
PC464	0.000	0.800
PC465	0.000	0.800
PC462	-0.000	0.801
PC1800	0.000	0.416
PC460	-0.000	0.802
PC461	0.000	0.802
PC468	-0.000	0.799
PC469	-0.000	0.799
PC1701	-0.000	0.452
PC1700	0.000	0.453
PC1703	0.000	0.452
PC1702	0.000	0.452
PC1705	-0.000	0.451
PC1704	-0.000	0.451
PC1707	-0.000	0.450
PC1706	0.000	0.451
PC1709	-0.000	0.449
PC1708	-0.000	0.450
PC1529	0.000	0.504
PC1528	-0.000	0.504
PC1521	0.000	0.506
PC1520	-0.000	0.507
PC1523	-0.000	0.506
PC1522	-0.000	0.506
PC1525	0.000	0.505
PC1524	-0.000	0.506
PC1527	0.000	0.505
PC1526	0.000	0.505
PC109	0.000	1.025
PC108	-0.000	1.027
PC105	-0.000	1.033
PC104	0.000	1.034
PC107	0.000	1.029
PC106	-0.000	1.030
PC101	0.000	1.041
PC100	-0.000	1.042
PC103	-0.000	1.036
PC102	-0.000	1.039
PC1149	-0.000	0.604
PC1148	-0.000	0.604
PC1639	0.000	0.472
PC1638	-0.000	0.472
PC1635	0.000	0.473
PC1634	0.000	0.474
PC1637	0.000	0.473
PC1636	-0.000	0.473
PC1631	0.000	0.474
PC1630	0.000	0.475
PC1633	-0.000	0.474
PC1632	0.000	0.474
PC1455	-0.000	0.524
PC1454	-0.000	0.525
PC1457	-0.000	0.524
PC1456	-0.000	0.524
PC1451	0.000	0.525
PC1450	0.000	0.526
PC1453	0.000	0.525
PC1452	-0.000	0.525
PC1459	-0.000	0.523
PC1458	0.000	0.524
PC1615	0.000	0.479
PC1037	0.000	0.633
PC1036	-0.000	0.633
PC1035	-0.000	0.634
PC1034	0.000	0.634
PC1033	0.000	0.634
PC1032	0.000	0.635
PC1031	-0.000	0.635
PC1030	-0.000	0.635
PC1039	0.000	0.632
PC1038	0.000	0.633
